,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Age_Group_En,Number_of_Practitioners
403477,2016,Male,Sudan,Nursing and Midwifery,Unknown,1
403484,2016,Male,Sudan,Technicians and Health Assistants,From 50 to 59,1
403493,2016,Male,Yemen,Health Administration and Community Health,From 60 to 69,1
403499,2016,Male,Yemen,Medicine and Surgery,From 20 to 29,1
403500,2016,Male,Yemen,Medicine and Surgery,From 70 to 79,1
403502,2016,Male,Yemen,Nursing and Midwifery,From 50 to 59,1
403505,2016,Male,Yemen,Nursing and Midwifery,From 60 to 69,1
403517,2016,Male,Yemen,Health Administration and Community Health,From 40 to 49,1
403527,2016,Male,Unknown,Nursing and Midwifery,From 30 to 39,1
403529,2016,Male,Unknown,Technicians and Health Assistants,From 20 to 29,1
403534,2016,Male,Unknown,Therapy and Rehabilitation,From 30 to 39,1
403539,2016,Male,Venezuela,Medicine and Surgery,From 50 to 59,1
403540,2016,Male,Venezuela,Medicine and Surgery,From 60 to 69,1
403541,2016,Male,Yemen,Dentistry and Related Specialties,From 20 to 29,1
403546,2016,Male,Yemen,Technicians and Health Assistants,From 40 to 49,1
403551,2016,Male,Yemen,Therapy and Rehabilitation,From 40 to 49,1
403601,2016,Male,United Kingdom,Laboratories and Medical Technology,From 30 to 39,1
403607,2016,Male,United Kingdom,Laboratories and Medical Technology,From 70 to 79,1
403612,2016,Male,Unknown,Medicine and Surgery,From 30 to 39,1
403622,2016,Male,United Kingdom,Nursing and Midwifery,From 70 to 79,1
403625,2016,Male,United Kingdom,Dentistry and Related Specialties,From 70 to 79,1
403628,2016,Male,Turkey,Pharmacists and Pharmacy Technicians,From 30 to 39,1
403629,2016,Male,Turkey,Pharmacists and Pharmacy Technicians,From 70 to 79,1
403632,2016,Male,Turkey,Therapy and Rehabilitation,From 30 to 39,1
403634,2016,Male,Turkmenistan,Laboratories and Medical Technology,From 50 to 59,1
403635,2016,Male,Uganda,Laboratories and Medical Technology,From 40 to 49,1
403636,2016,Male,United Arab Emirates,Medicine and Surgery,From 40 to 49,1
403637,2016,Male,United Kingdom,Dentistry and Related Specialties,From 20 to 29,1
403640,2016,Male,United Kingdom,Dentistry and Related Specialties,From 40 to 49,1
403642,2016,Male,United Kingdom,Dentistry and Related Specialties,From 60 to 69,1
403655,2016,Male,United States,Medicine and Surgery,From 20 to 29,1
403662,2016,Male,United States,Pharmacists and Pharmacy Technicians,From 20 to 29,1
403666,2016,Male,United States,Technicians and Health Assistants,From 60 to 69,1
403674,2016,Male,United States,Therapy and Rehabilitation,Unknown,1
403675,2016,Male,Unknown,Dentistry and Related Specialties,From 30 to 39,1
403682,2016,Male,United Kingdom,Pharmacists and Pharmacy Technicians,From 30 to 39,1
403683,2016,Male,United Kingdom,Technicians and Health Assistants,From 40 to 49,1
403685,2016,Male,United Kingdom,Technicians and Health Assistants,From 60 to 69,1
403699,2016,Male,United States,Dentistry and Related Specialties,From 70 to 79,1
403706,2016,Male,Sri Lanka,Dentistry and Related Specialties,From 60 to 69,1
403709,2016,Male,Poland,Medicine and Surgery,From 70 to 79,1
403715,2016,Male,Poland,Therapy and Rehabilitation,From 30 to 39,1
403716,2016,Male,Portugal,Laboratories and Medical Technology,From 30 to 39,1
403718,2016,Male,Portugal,Pharmacists and Pharmacy Technicians,From 30 to 39,1
403725,2016,Male,Portugal,Therapy and Rehabilitation,From 50 to 59,1
403726,2016,Male,Romania,Dentistry and Related Specialties,From 50 to 59,1
403747,2016,Male,Philippines,Pharmacists and Pharmacy Technicians,From 20 to 29,1
403756,2016,Male,Philippines,Technicians and Health Assistants,From 20 to 29,1
403757,2016,Male,Philippines,Therapy and Rehabilitation,Less Than 20,1
403758,2016,Male,Philippines,Therapy and Rehabilitation,Unknown,1
403760,2016,Male,Romania,Medicine and Surgery,From 50 to 59,1
403777,2016,Male,Saudi Arabia,Dentistry and Related Specialties,From 80 to 89,1
403780,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Less Than 20,1
403782,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Unknown,1
403784,2016,Male,Saudi Arabia,Health Administration and Community Health,From 70 to 79,1
403785,2016,Male,Saudi Arabia,Health Administration and Community Health,From 80 to 89,1
403790,2016,Male,Saudi Arabia,Dentistry and Related Specialties,From 70 to 79,1
403795,2016,Male,Romania,Medicine and Surgery,From 60 to 69,1
403796,2016,Male,Romania,Medicine and Surgery,From 70 to 79,1
403800,2016,Male,Romania,Therapy and Rehabilitation,From 40 to 49,1
403801,2016,Male,Romania,Therapy and Rehabilitation,From 50 to 59,1
403804,2016,Male,Russia,Pharmacists and Pharmacy Technicians,From 40 to 49,1
403818,2016,Male,Oman,Therapy and Rehabilitation,From 30 to 39,1
403834,2016,Male,Pakistan,Medicine and Surgery,Unknown,1
403842,2016,Male,Oman,Pharmacists and Pharmacy Technicians,From 40 to 49,1
403863,2016,Male,Oman,Dentistry and Related Specialties,From 30 to 39,1
403868,2016,Male,Oman,Medicine and Surgery,From 40 to 49,1
403870,2016,Male,Pakistan,Pharmacists and Pharmacy Technicians,From 70 to 79,1
403877,2016,Male,Palestine,Technicians and Health Assistants,From 20 to 29,1
403879,2016,Male,Palestine,Technicians and Health Assistants,From 30 to 39,1
403883,2016,Male,Palestine,Technicians and Health Assistants,From 40 to 49,1
403888,2016,Male,Palestine,Therapy and Rehabilitation,From 20 to 29,1
403889,2016,Male,Palestine,Therapy and Rehabilitation,From 40 to 49,1
403891,2016,Male,Palestine,Therapy and Rehabilitation,From 60 to 69,1
403892,2016,Male,Philippines,Dentistry and Related Specialties,From 20 to 29,1
403894,2016,Male,Philippines,Dentistry and Related Specialties,Unknown,1
403905,2016,Male,Pakistan,Therapy and Rehabilitation,From 70 to 79,1
403910,2016,Male,Palestine,Dentistry and Related Specialties,From 70 to 79,1
403915,2016,Male,Palestine,Laboratories and Medical Technology,From 40 to 49,1
403917,2016,Male,Palestine,Medicine and Surgery,From 80 to 89,1
403919,2016,Male,Palestine,Nursing and Midwifery,From 20 to 29,1
403926,2016,Male,South Africa,Pharmacists and Pharmacy Technicians,From 40 to 49,1
403930,2016,Male,South Africa,Laboratories and Medical Technology,From 50 to 59,1
403931,2016,Male,South Africa,Laboratories and Medical Technology,From 70 to 79,1
403939,2016,Male,Somalia,Health Administration and Community Health,From 70 to 79,1
403940,2016,Male,South Africa,Pharmacists and Pharmacy Technicians,From 60 to 69,1
403949,2016,Male,South Africa,Technicians and Health Assistants,From 60 to 69,1
403954,2016,Male,South Africa,Dentistry and Related Specialties,From 40 to 49,1
403958,2016,Male,Somalia,Laboratories and Medical Technology,From 70 to 79,1
403965,2016,Male,Somalia,Nursing and Midwifery,From 50 to 59,1
403966,2016,Male,Somalia,Pharmacists and Pharmacy Technicians,From 30 to 39,1
403970,2016,Male,Somalia,Pharmacists and Pharmacy Technicians,From 50 to 59,1
403973,2016,Male,Somalia,Technicians and Health Assistants,From 30 to 39,1
403976,2016,Male,Somalia,Therapy and Rehabilitation,From 30 to 39,1
403980,2016,Male,South Africa,Therapy and Rehabilitation,From 50 to 59,1
403981,2016,Male,Spain,Dentistry and Related Specialties,From 40 to 49,1
403983,2016,Male,Spain,Laboratories and Medical Technology,From 70 to 79,1
404003,2016,Male,Spain,Nursing and Midwifery,From 30 to 39,1
404019,2016,Male,South Korea,Dentistry and Related Specialties,From 60 to 69,1
404024,2016,Male,South Korea,Laboratories and Medical Technology,From 30 to 39,1
404029,2016,Male,Spain,Dentistry and Related Specialties,From 30 to 39,1
404040,2016,Male,Saudi Arabia,Nursing and Midwifery,From 90 to 99,1
404048,2016,Male,Somalia,Dentistry and Related Specialties,From 50 to 59,1
404089,2016,Male,Saudi Arabia,Technicians and Health Assistants,From 70 to 79,1
404107,2016,Male,Slovakia,Medicine and Surgery,From 50 to 59,1
404109,2016,Male,Slovakia,Nursing and Midwifery,From 30 to 39,1
404110,2016,Male,Slovakia,Pharmacists and Pharmacy Technicians,From 40 to 49,1
404111,2016,Male,Slovakia,Therapy and Rehabilitation,From 40 to 49,1
404112,2016,Male,Somalia,Dentistry and Related Specialties,From 30 to 39,1
404120,2016,Male,Saudi Arabia,Technicians and Health Assistants,From 90 to 99,1
404128,2016,Male,Saudi Arabia,Therapy and Rehabilitation,From 80 to 89,1
404135,2016,Male,Saudi Arabia,Therapy and Rehabilitation,From 90 to 99,1
404137,2016,Male,Serbia,Nursing and Midwifery,From 30 to 39,1
404138,2016,Male,Slovakia,Laboratories and Medical Technology,From 30 to 39,1
404141,2017,Female,Uganda,Nursing and Midwifery,From 30 to 39,1
404143,2017,Female,Ukraine,Dentistry and Related Specialties,From 50 to 59,1
404145,2018,Female,Colombia,Dentistry and Related Specialties,From 30 to 39,1
404150,2018,Female,Colombia,Nursing and Midwifery,From 40 to 49,1
404153,2018,Female,Croatia,Therapy and Rehabilitation,From 30 to 39,1
404159,2018,Female,Cuba,Medicine and Surgery,From 60 to 69,1
404160,2018,Female,Czech Republic,Dentistry and Related Specialties,From 30 to 39,1
404165,2018,Female,Czech Republic,Medicine and Surgery,From 40 to 49,1
404171,2018,Female,China,Technicians and Health Assistants,From 30 to 39,1
404172,2018,Female,China,Pharmacists and Pharmacy Technicians,From 30 to 39,1
404178,2018,Female,Canada,Therapy and Rehabilitation,From 40 to 49,1
404179,2018,Female,Canada,Therapy and Rehabilitation,From 50 to 59,1
404182,2018,Female,Canada,Therapy and Rehabilitation,From 60 to 69,1
404185,2018,Female,Chad,Therapy and Rehabilitation,From 40 to 49,1
404191,2018,Female,Chile,Nursing and Midwifery,From 40 to 49,1
404192,2018,Female,China,Laboratories and Medical Technology,Unknown,1
404195,2018,Female,China,Nursing and Midwifery,Unknown,1
404201,2018,Female,Djibouti,Medicine and Surgery,From 30 to 39,1
404210,2018,Female,Egypt,Health Administration and Community Health,From 30 to 39,1
404211,2018,Female,Egypt,Health Administration and Community Health,From 40 to 49,1
404213,2018,Female,Egypt,Health Administration and Community Health,From 50 to 59,1
404214,2018,Female,Egypt,Health Administration and Community Health,From 60 to 69,1
404224,2018,Female,Djibouti,Laboratories and Medical Technology,From 30 to 39,1
404225,2018,Female,Czech Republic,Medicine and Surgery,From 50 to 59,1
404228,2018,Female,Czech Republic,Medicine and Surgery,From 60 to 69,1
404229,2018,Female,Czech Republic,Nursing and Midwifery,From 20 to 29,1
404232,2018,Female,Czech Republic,Nursing and Midwifery,Unknown,1
404235,2018,Female,Czech Republic,Technicians and Health Assistants,From 30 to 39,1
404237,2018,Female,Czech Republic,Technicians and Health Assistants,From 40 to 49,1
404244,2018,Female,Denmark,Dentistry and Related Specialties,From 30 to 39,1
404247,2018,Female,Denmark,Medicine and Surgery,From 60 to 69,1
404249,2018,Female,Denmark,Nursing and Midwifery,From 40 to 49,1
404257,2018,Female,Brazil,Dentistry and Related Specialties,From 30 to 39,1
404262,2018,Female,Brazil,Medicine and Surgery,From 60 to 69,1
404265,2018,Female,Cameroon,Nursing and Midwifery,From 20 to 29,1
404266,2018,Female,Canada,Therapy and Rehabilitation,From 20 to 29,1
404269,2018,Female,Canada,Dentistry and Related Specialties,From 50 to 59,1
404272,2018,Female,Canada,Dentistry and Related Specialties,From 60 to 69,1
404274,2018,Female,Canada,Laboratories and Medical Technology,From 30 to 39,1
404279,2018,Female,Bosnia And Herzegovina,Therapy and Rehabilitation,From 40 to 49,1
404301,2018,Female,Belgium,Pharmacists and Pharmacy Technicians,From 40 to 49,1
404305,2018,Female,Canada,Laboratories and Medical Technology,From 50 to 59,1
404322,2018,Female,Canada,Nursing and Midwifery,From 70 to 79,1
404326,2018,Female,Canada,Pharmacists and Pharmacy Technicians,From 20 to 29,1
404327,2018,Female,Canada,Pharmacists and Pharmacy Technicians,From 50 to 59,1
404330,2018,Female,Canada,Technicians and Health Assistants,From 60 to 69,1
404340,2018,Female,Canada,Laboratories and Medical Technology,From 70 to 79,1
404343,2018,Female,Canada,Medicine and Surgery,From 30 to 39,1
404363,2018,Female,Ethiopia,Therapy and Rehabilitation,From 40 to 49,1
404364,2018,Female,Finland,Laboratories and Medical Technology,From 30 to 39,1
404367,2018,Female,Finland,Therapy and Rehabilitation,From 30 to 39,1
404368,2018,Female,Finland,Therapy and Rehabilitation,From 50 to 59,1
404369,2018,Female,France,Dentistry and Related Specialties,From 40 to 49,1
404372,2018,Female,France,Dentistry and Related Specialties,From 60 to 69,1
404383,2018,Female,France,Laboratories and Medical Technology,From 40 to 49,1
404401,2018,Female,Ethiopia,Nursing and Midwifery,From 60 to 69,1
404403,2018,Female,Ethiopia,Pharmacists and Pharmacy Technicians,From 40 to 49,1
404406,2018,Female,Ethiopia,Technicians and Health Assistants,From 30 to 39,1
404419,2018,Female,France,Pharmacists and Pharmacy Technicians,From 60 to 69,1
404431,2018,Female,Germany,Dentistry and Related Specialties,From 40 to 49,1
404434,2018,Female,Germany,Medicine and Surgery,From 30 to 39,1
404435,2018,Female,Germany,Medicine and Surgery,From 50 to 59,1
404437,2018,Female,Germany,Nursing and Midwifery,From 40 to 49,1
404438,2018,Female,Germany,Nursing and Midwifery,From 60 to 69,1
404452,2018,Female,France,Medicine and Surgery,From 20 to 29,1
404458,2018,Female,France,Medicine and Surgery,From 30 to 39,1
404466,2018,Female,France,Nursing and Midwifery,From 40 to 49,1
404483,2018,Female,Egypt,Therapy and Rehabilitation,Less Than 20,1
404487,2018,Female,Eritrea,Dentistry and Related Specialties,From 20 to 29,1
404491,2018,Female,Eritrea,Medicine and Surgery,From 20 to 29,1
404495,2018,Female,Eritrea,Nursing and Midwifery,From 40 to 49,1
404508,2018,Female,Egypt,Medicine and Surgery,Unknown,1
404515,2018,Female,Egypt,Nursing and Midwifery,Less Than 20,1
404536,2018,Female,Ethiopia,Nursing and Midwifery,From 20 to 29,1
404554,2018,Female,Eritrea,Therapy and Rehabilitation,From 20 to 29,1
404560,2018,Female,Eritrea,Therapy and Rehabilitation,From 40 to 49,1
404563,2018,Female,Ethiopia,Dentistry and Related Specialties,From 30 to 39,1
404570,2018,Female,Ethiopia,Laboratories and Medical Technology,From 20 to 29,1
404574,2018,Female,Ethiopia,Laboratories and Medical Technology,From 50 to 59,1
404576,2018,Female,Ethiopia,Medicine and Surgery,From 20 to 29,1
404578,2018,Female,Bangladesh,Technicians and Health Assistants,From 60 to 69,1
404581,2017,Male,Tunisia,Therapy and Rehabilitation,From 70 to 79,1
404587,2017,Male,Turkey,Dentistry and Related Specialties,From 60 to 69,1
404593,2017,Male,Tunisia,Pharmacists and Pharmacy Technicians,From 40 to 49,1
404599,2017,Male,Turkey,Pharmacists and Pharmacy Technicians,From 30 to 39,1
404619,2017,Male,Tunisia,Technicians and Health Assistants,From 40 to 49,1
404621,2017,Male,Tunisia,Technicians and Health Assistants,From 50 to 59,1
404622,2017,Male,Tunisia,Technicians and Health Assistants,From 60 to 69,1
404631,2017,Male,Tunisia,Therapy and Rehabilitation,From 50 to 59,1
404632,2017,Male,Turkey,Therapy and Rehabilitation,From 30 to 39,1
404634,2017,Male,Turkmenistan,Laboratories and Medical Technology,From 50 to 59,1
404635,2017,Male,United States,Dentistry and Related Specialties,From 70 to 79,1
404638,2017,Male,United States,Medicine and Surgery,From 20 to 29,1
404643,2017,Male,United States,Technicians and Health Assistants,From 60 to 69,1
404654,2017,Male,United States,Therapy and Rehabilitation,From 20 to 29,1
404657,2017,Male,United States,Therapy and Rehabilitation,Unknown,1
404660,2017,Male,United Kingdom,Therapy and Rehabilitation,From 50 to 59,1
404662,2017,Male,United Kingdom,Therapy and Rehabilitation,From 40 to 49,1
404666,2017,Male,Uganda,Laboratories and Medical Technology,From 40 to 49,1
404669,2017,Male,United Arab Emirates,Medicine and Surgery,From 40 to 49,1
404676,2017,Male,United Arab Emirates,Medicine and Surgery,From 50 to 59,1
404677,2017,Male,United Kingdom,Dentistry and Related Specialties,From 20 to 29,1
404679,2017,Male,United Kingdom,Dentistry and Related Specialties,From 40 to 49,1
404681,2017,Male,United Kingdom,Dentistry and Related Specialties,From 70 to 79,1
404683,2017,Male,United Kingdom,Laboratories and Medical Technology,From 30 to 39,1
404685,2017,Male,United Kingdom,Technicians and Health Assistants,From 60 to 69,1
404686,2017,Male,Tunisia,Technicians and Health Assistants,From 30 to 39,1
404687,2017,Male,Tunisia,Pharmacists and Pharmacy Technicians,From 20 to 29,1
404689,2017,Male,Tanzania,Laboratories and Medical Technology,From 60 to 69,1
404704,2017,Male,Thailand,Laboratories and Medical Technology,From 30 to 39,1
404705,2017,Male,Tunisia,Dentistry and Related Specialties,From 20 to 29,1
404711,2017,Male,Tunisia,Dentistry and Related Specialties,From 60 to 69,1
404715,2017,Male,Tanzania,Laboratories and Medical Technology,From 50 to 59,1
404721,2017,Male,Syria,Nursing and Midwifery,From 80 to 89,1
404723,2017,Male,Syria,Nursing and Midwifery,Unknown,1
404725,2017,Male,Syria,Pharmacists and Pharmacy Technicians,From 80 to 89,1
404727,2017,Male,Syria,Technicians and Health Assistants,From 50 to 59,1
404728,2017,Male,Syria,Therapy and Rehabilitation,From 70 to 79,1
404730,2017,Male,Tanzania,Laboratories and Medical Technology,From 40 to 49,1
404761,2017,Male,Tunisia,Nursing and Midwifery,From 20 to 29,1
404763,2017,Male,Tunisia,Nursing and Midwifery,From 70 to 79,1
404798,2018,Female,Australia,Dentistry and Related Specialties,From 20 to 29,1
404800,2018,Female,Algeria,Medicine and Surgery,From 60 to 69,1
404807,2018,Female,Argentina,Nursing and Midwifery,From 30 to 39,1
404812,2018,Female,Australia,Dentistry and Related Specialties,From 40 to 49,1
404813,2018,Female,Australia,Dentistry and Related Specialties,From 50 to 59,1
404814,2018,Female,Australia,Laboratories and Medical Technology,From 30 to 39,1
404824,2018,Female,Algeria,Medicine and Surgery,From 50 to 59,1
404825,2018,Female,Algeria,Medicine and Surgery,From 30 to 39,1
404830,2017,Male,Yemen,Technicians and Health Assistants,From 40 to 49,1
404832,2018,Female,Afghanistan,Dentistry and Related Specialties,From 30 to 39,1
404835,2018,Female,Afghanistan,Health Administration and Community Health,From 30 to 39,1
404839,2018,Female,Afghanistan,Nursing and Midwifery,From 30 to 39,1
404845,2018,Female,Algeria,Dentistry and Related Specialties,From 40 to 49,1
404846,2018,Female,Algeria,Dentistry and Related Specialties,From 50 to 59,1
404849,2018,Female,Algeria,Dentistry and Related Specialties,From 60 to 69,1
404851,2018,Female,Australia,Nursing and Midwifery,From 70 to 79,1
404852,2018,Female,Australia,Pharmacists and Pharmacy Technicians,From 30 to 39,1
404854,2018,Female,Bangladesh,Dentistry and Related Specialties,From 30 to 39,1
404855,2018,Female,Bangladesh,Health Administration and Community Health,From 60 to 69,1
404857,2018,Female,Bangladesh,Laboratories and Medical Technology,From 30 to 39,1
404858,2018,Female,Bangladesh,Laboratories and Medical Technology,From 40 to 49,1
404864,2018,Female,Bangladesh,Nursing and Midwifery,From 30 to 39,1
404873,2018,Female,Bangladesh,Nursing and Midwifery,From 40 to 49,1
404880,2018,Female,Bahrain,Therapy and Rehabilitation,From 30 to 39,1
404882,2018,Female,Australia,Therapy and Rehabilitation,From 30 to 39,1
404885,2018,Female,Australia,Therapy and Rehabilitation,From 40 to 49,1
404886,2018,Female,Australia,Therapy and Rehabilitation,From 50 to 59,1
404887,2018,Female,Austria,Nursing and Midwifery,From 50 to 59,1
404891,2018,Female,Azerbaijan,Medicine and Surgery,From 60 to 69,1
404892,2018,Female,Azerbaijan,Medicine and Surgery,From 70 to 79,1
404894,2018,Female,Bahrain,Dentistry and Related Specialties,From 40 to 49,1
404899,2018,Female,Bahrain,Medicine and Surgery,From 50 to 59,1
404902,2018,Female,Bahrain,Technicians and Health Assistants,From 30 to 39,1
404909,2017,Male,Venezuela,Medicine and Surgery,From 50 to 59,1
404910,2017,Male,Venezuela,Medicine and Surgery,From 60 to 69,1
404912,2017,Male,Yemen,Dentistry and Related Specialties,From 20 to 29,1
404920,2017,Male,Yemen,Pharmacists and Pharmacy Technicians,From 70 to 79,1
404924,2017,Male,Yemen,Dentistry and Related Specialties,From 60 to 69,1
404928,2017,Male,Yemen,Health Administration and Community Health,From 20 to 29,1
404935,2017,Male,Uzbekistan,Medicine and Surgery,From 50 to 59,1
404939,2017,Male,Unknown,Dentistry and Related Specialties,From 30 to 39,1
404947,2017,Male,Unknown,Medicine and Surgery,From 30 to 39,1
404961,2017,Male,Yemen,Health Administration and Community Health,From 40 to 49,1
404982,2017,Male,Yemen,Nursing and Midwifery,From 50 to 59,1
404983,2017,Male,Yemen,Nursing and Midwifery,From 60 to 69,1
404985,2017,Male,Yemen,Pharmacists and Pharmacy Technicians,From 20 to 29,1
404989,2017,Male,Yemen,Laboratories and Medical Technology,From 70 to 79,1
404994,2017,Male,Yemen,Health Administration and Community Health,From 60 to 69,1
405015,2017,Female,Ukraine,Medicine and Surgery,From 40 to 49,1
405017,2018,Female,Palestine,Medicine and Surgery,From 70 to 79,1
405044,2018,Female,Palestine,Health Administration and Community Health,From 50 to 59,1
405046,2018,Female,Pakistan,Unknown,From 30 to 39,1
405053,2018,Female,Palestine,Dentistry and Related Specialties,From 60 to 69,1
405075,2018,Female,Philippines,Pharmacists and Pharmacy Technicians,Less Than 20,1
405078,2018,Female,Philippines,Pharmacists and Pharmacy Technicians,Unknown,1
405081,2018,Female,Philippines,Technicians and Health Assistants,From 20 to 29,1
405082,2018,Female,Philippines,Technicians and Health Assistants,From 50 to 59,1
405084,2018,Female,Poland,Pharmacists and Pharmacy Technicians,From 30 to 39,1
405087,2018,Female,Poland,Therapy and Rehabilitation,From 30 to 39,1
405091,2018,Female,Portugal,Dentistry and Related Specialties,From 30 to 39,1
405092,2018,Female,Portugal,Laboratories and Medical Technology,From 30 to 39,1
405093,2018,Female,Portugal,Medicine and Surgery,From 50 to 59,1
405105,2018,Female,Palestine,Therapy and Rehabilitation,From 60 to 69,1
405106,2018,Female,Philippines,Dentistry and Related Specialties,From 80 to 89,1
405108,2018,Female,Philippines,Health Administration and Community Health,From 40 to 49,1
405113,2018,Female,Philippines,Laboratories and Medical Technology,Unknown,1
405124,2018,Female,Portugal,Nursing and Midwifery,Unknown,1
405125,2018,Female,Nigeria,Therapy and Rehabilitation,From 60 to 69,1
405128,2018,Female,Nigeria,Therapy and Rehabilitation,From 20 to 29,1
405135,2018,Female,Nigeria,Therapy and Rehabilitation,From 50 to 59,1
405137,2018,Female,Oman,Laboratories and Medical Technology,From 30 to 39,1
405138,2018,Female,Pakistan,Technicians and Health Assistants,From 40 to 49,1
405142,2018,Female,Oman,Medicine and Surgery,From 20 to 29,1
405146,2018,Female,Oman,Medicine and Surgery,From 30 to 39,1
405167,2018,Female,Nigeria,Pharmacists and Pharmacy Technicians,From 30 to 39,1
405172,2018,Female,Nigeria,Technicians and Health Assistants,From 20 to 29,1
405178,2018,Female,Oman,Nursing and Midwifery,From 30 to 39,1
405179,2018,Female,Oman,Therapy and Rehabilitation,From 30 to 39,1
405181,2018,Female,Pakistan,Medicine and Surgery,Unknown,1
405185,2018,Female,Pakistan,Nursing and Midwifery,Unknown,1
405218,2018,Female,Pakistan,Dentistry and Related Specialties,From 60 to 69,1
405219,2018,Female,Pakistan,Health Administration and Community Health,From 20 to 29,1
405221,2018,Female,Pakistan,Health Administration and Community Health,From 40 to 49,1
405222,2018,Female,Pakistan,Laboratories and Medical Technology,From 20 to 29,1
405226,2018,Female,Pakistan,Laboratories and Medical Technology,From 50 to 59,1
405228,2018,Female,Pakistan,Medicine and Surgery,From 70 to 79,1
405229,2018,Female,Pakistan,Medicine and Surgery,From 80 to 89,1
405231,2018,Female,Portugal,Nursing and Midwifery,From 60 to 69,1
405240,2018,Female,Slovakia,Technicians and Health Assistants,From 30 to 39,1
405252,2018,Female,Slovakia,Therapy and Rehabilitation,From 40 to 49,1
405259,2018,Female,Slovakia,Nursing and Midwifery,From 70 to 79,1
405266,2018,Female,Senegal,Therapy and Rehabilitation,From 30 to 39,1
405272,2018,Female,Serbia,Nursing and Midwifery,From 40 to 49,1
405279,2018,Female,Singapore,Nursing and Midwifery,From 60 to 69,1
405286,2018,Female,Somalia,Laboratories and Medical Technology,From 50 to 59,1
405290,2018,Female,South Africa,Dentistry and Related Specialties,From 50 to 59,1
405296,2018,Female,South Africa,Dentistry and Related Specialties,From 60 to 69,1
405303,2018,Female,South Africa,Laboratories and Medical Technology,From 70 to 79,1
405306,2018,Female,South Africa,Nursing and Midwifery,From 20 to 29,1
405312,2018,Female,South Africa,Pharmacists and Pharmacy Technicians,From 40 to 49,1
405313,2018,Female,Somalia,Therapy and Rehabilitation,From 50 to 59,1
405317,2018,Female,Somalia,Nursing and Midwifery,From 60 to 69,1
405322,2018,Female,Somalia,Technicians and Health Assistants,From 30 to 39,1
405324,2018,Female,Somalia,Therapy and Rehabilitation,From 20 to 29,1
405343,2018,Female,Saudi Arabia,Laboratories and Medical Technology,From 70 to 79,1
405346,2018,Female,Saudi Arabia,Health Administration and Community Health,From 80 to 89,1
405355,2018,Female,Saudi Arabia,Laboratories and Medical Technology,From 80 to 89,1
405371,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Unknown,1
405373,2018,Female,Portugal,Therapy and Rehabilitation,From 30 to 39,1
405376,2018,Female,Qatar,Medicine and Surgery,From 40 to 49,1
405379,2018,Female,Romania,Laboratories and Medical Technology,From 40 to 49,1
405381,2018,Female,Romania,Medicine and Surgery,From 50 to 59,1
405382,2018,Female,Romania,Nursing and Midwifery,From 40 to 49,1
405384,2018,Female,Romania,Nursing and Midwifery,From 60 to 69,1
405385,2018,Female,Romania,Therapy and Rehabilitation,From 40 to 49,1
405389,2018,Female,Russia,Dentistry and Related Specialties,From 40 to 49,1
405392,2018,Female,Russia,Medicine and Surgery,From 60 to 69,1
405394,2018,Female,Saudi Arabia,Dentistry and Related Specialties,From 70 to 79,1
405414,2018,Female,Saudi Arabia,Therapy and Rehabilitation,From 70 to 79,1
405424,2018,Female,Saudi Arabia,Medicine and Surgery,From 80 to 89,1
405437,2018,Female,Saudi Arabia,Nursing and Midwifery,From 80 to 89,1
405444,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 70 to 79,1
405445,2018,Female,Saudi Arabia,Technicians and Health Assistants,From 80 to 89,1
405449,2018,Female,Nigeria,Nursing and Midwifery,From 40 to 49,1
405450,2018,Female,Nigeria,Nursing and Midwifery,From 20 to 29,1
405454,2018,Female,Ireland,Dentistry and Related Specialties,From 30 to 39,1
405457,2018,Female,Ireland,Dentistry and Related Specialties,From 40 to 49,1
405460,2018,Female,Ireland,Laboratories and Medical Technology,From 40 to 49,1
405462,2018,Female,Ireland,Medicine and Surgery,From 40 to 49,1
405469,2018,Female,Ireland,Nursing and Midwifery,Less Than 20,1
405471,2018,Female,Ireland,Pharmacists and Pharmacy Technicians,From 50 to 59,1
405472,2018,Female,Italy,Dentistry and Related Specialties,From 30 to 39,1
405473,2018,Female,Italy,Dentistry and Related Specialties,From 40 to 49,1
405474,2018,Female,Italy,Medicine and Surgery,From 40 to 49,1
405475,2018,Female,Italy,Medicine and Surgery,From 50 to 59,1
405476,2018,Female,Italy,Nursing and Midwifery,From 40 to 49,1
405488,2018,Female,Iraq,Pharmacists and Pharmacy Technicians,From 20 to 29,1
405489,2018,Female,Iraq,Therapy and Rehabilitation,From 20 to 29,1
405503,2018,Female,Ireland,Dentistry and Related Specialties,From 20 to 29,1
405504,2018,Female,Italy,Nursing and Midwifery,From 50 to 59,1
405509,2018,Female,Kazakhstan,Laboratories and Medical Technology,From 40 to 49,1
405515,2018,Female,Kenya,Laboratories and Medical Technology,From 20 to 29,1
405525,2018,Female,Kenya,Laboratories and Medical Technology,From 40 to 49,1
405527,2018,Female,Kenya,Medicine and Surgery,From 60 to 69,1
