,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Profile_Status_En,Number_of_Practitioners
275931,2017,Female,Hungary,Medicine and Surgery,Clear,1
275933,2017,Female,India,Dentistry and Related Specialties,Blacklisted,1
275934,2017,Female,India,Dentistry and Related Specialties,Temporary Suspended,1
275939,2017,Female,Egypt,Dentistry and Related Specialties,Blacklisted,1
275941,2017,Female,Egypt,Dentistry and Related Specialties,Temporary Suspended,1
275949,2017,Female,Egypt,Pharmacists and Pharmacy Technicians,Blacklisted,1
275952,2017,Female,Egypt,Technicians and Health Assistants,Blacklisted,1
275954,2017,Female,Egypt,Technicians and Health Assistants,Temporary Suspended,1
275964,2017,Female,United Kingdom,Health Administration and Community Health,Clear,1
275968,2017,Female,United States,Dentistry and Related Specialties,Blacklisted,1
275971,2017,Female,United States,Nursing and Midwifery,Temporary Suspended,1
275975,2017,Female,Unknown,Therapy and Rehabilitation,Clear,1
275976,2017,Female,Venezuela,Dentistry and Related Specialties,Clear,1
275982,2017,Female,United Arab Emirates,Dentistry and Related Specialties,Clear,1
275983,2017,Female,Ukraine,Medicine and Surgery,Clear,1
275988,2017,Female,Syria,Laboratories and Medical Technology,Temporary Suspended,1
275989,2017,Female,Syria,Medicine and Surgery,Blacklisted,1
275992,2017,Female,Syria,Nursing and Midwifery,Blacklisted,1
275993,2017,Female,Syria,Pharmacists and Pharmacy Technicians,Blacklisted,1
275996,2017,Female,Ukraine,Dentistry and Related Specialties,Clear,1
275997,2017,Female,Syria,Therapy and Rehabilitation,Temporary Suspended,1
275999,2017,Female,Thailand,Nursing and Midwifery,Clear,1
276002,2017,Female,Turkey,Medicine and Surgery,Blacklisted,1
276003,2017,Female,Turkey,Pharmacists and Pharmacy Technicians,Clear,1
276004,2017,Female,Turkmenistan,Technicians and Health Assistants,Clear,1
276005,2017,Female,Uganda,Nursing and Midwifery,Clear,1
276007,2017,Female,Yemen,Therapy and Rehabilitation,Temporary Suspended,1
276008,2017,Female,Zimbabwe,Laboratories and Medical Technology,Clear,1
276009,2017,Male,Bulgaria,Medicine and Surgery,Clear,1
276011,2017,Male,Bangladesh,Nursing and Midwifery,Blacklisted,1
276015,2017,Male,Bangladesh,Technicians and Health Assistants,Clear,1
276017,2017,Male,Belgium,Therapy and Rehabilitation,Clear,1
276018,2017,Male,Brazil,Dentistry and Related Specialties,Clear,1
276019,2017,Male,Burma,Medicine and Surgery,Clear,1
276020,2017,Male,Afghanistan,Health Administration and Community Health,Clear,1
276021,2017,Male,Cameroon,Laboratories and Medical Technology,Clear,1
276022,2017,Male,Cameroon,Medicine and Surgery,Clear,1
276024,2017,Male,Canada,Health Administration and Community Health,Temporary Suspended,1
276026,2017,Male,Canada,Medicine and Surgery,Blacklisted,1
276030,2017,Male,Bangladesh,Medicine and Surgery,Blacklisted,1
276032,2017,Male,Bahrain,Therapy and Rehabilitation,Clear,1
276033,2017,Male,Bahrain,Nursing and Midwifery,Clear,1
276035,2017,Male,Afghanistan,Medicine and Surgery,Clear,1
276036,2017,Male,Afghanistan,Technicians and Health Assistants,Clear,1
276037,2017,Male,Afghanistan,Therapy and Rehabilitation,Clear,1
276038,2017,Male,Albania,Nursing and Midwifery,Clear,1
276039,2017,Male,Algeria,Dentistry and Related Specialties,Clear,1
276040,2017,Male,Algeria,Laboratories and Medical Technology,Clear,1
276042,2017,Male,Algeria,Pharmacists and Pharmacy Technicians,Clear,1
276045,2017,Male,Australia,Pharmacists and Pharmacy Technicians,Clear,1
276046,2017,Male,Australia,Technicians and Health Assistants,Clear,1
276047,2017,Male,Australia,Therapy and Rehabilitation,Clear,1
276051,2017,Male,Bahrain,Health Administration and Community Health,Clear,1
276053,2017,Female,Syria,Dentistry and Related Specialties,Temporary Suspended,1
276054,2017,Female,Sweden,Therapy and Rehabilitation,Clear,1
276055,2017,Female,Pakistan,Medicine and Surgery,Temporary Suspended,1
276056,2017,Female,Qatar,Medicine and Surgery,Clear,1
276059,2017,Female,Poland,Pharmacists and Pharmacy Technicians,Clear,1
276060,2017,Female,Poland,Therapy and Rehabilitation,Clear,1
276061,2017,Female,Portugal,Dentistry and Related Specialties,Clear,1
276062,2017,Female,Portugal,Laboratories and Medical Technology,Clear,1
276063,2017,Female,Portugal,Medicine and Surgery,Clear,1
276065,2017,Female,Portugal,Therapy and Rehabilitation,Clear,1
276066,2017,Female,Qatar,Therapy and Rehabilitation,Clear,1
276068,2017,Female,Romania,Laboratories and Medical Technology,Clear,1
276070,2017,Female,Russia,Dentistry and Related Specialties,Blacklisted,1
276075,2017,Female,Saudi Arabia,Medicine and Surgery,Blacklisted,1
276084,2017,Female,Pakistan,Therapy and Rehabilitation,Blacklisted,1
276085,2017,Female,Pakistan,Unknown,Blacklisted,1
276095,2017,Female,Philippines,Health Administration and Community Health,Clear,1
276101,2017,Female,Saudi Arabia,Medicine and Surgery,Temporary Suspended,1
276103,2017,Female,Saudi Arabia,Nursing and Midwifery,Temporary Suspended,1
276105,2017,Female,Spain,Therapy and Rehabilitation,Clear,1
276106,2017,Female,Sri Lanka,Dentistry and Related Specialties,Clear,1
276110,2017,Female,Sudan,Dentistry and Related Specialties,Temporary Suspended,1
276111,2017,Female,Sudan,Health Administration and Community Health,Blacklisted,1
276113,2017,Female,Sudan,Health Administration and Community Health,Temporary Suspended,1
276120,2017,Female,Sudan,Pharmacists and Pharmacy Technicians,Blacklisted,1
276122,2017,Female,Sudan,Pharmacists and Pharmacy Technicians,Temporary Suspended,1
276123,2017,Female,Sudan,Technicians and Health Assistants,Blacklisted,1
276126,2017,Female,Spain,Medicine and Surgery,Blacklisted,1
276127,2017,Female,South Korea,Therapy and Rehabilitation,Clear,1
276133,2017,Female,Senegal,Nursing and Midwifery,Clear,1
276134,2017,Female,Senegal,Therapy and Rehabilitation,Clear,1
276136,2017,Female,Slovakia,Technicians and Health Assistants,Clear,1
276138,2017,Female,Somalia,Dentistry and Related Specialties,Temporary Suspended,1
276140,2017,Female,Somalia,Technicians and Health Assistants,Clear,1
276143,2017,Female,South Africa,Nursing and Midwifery,Blacklisted,1
276145,2017,Female,South Africa,Pharmacists and Pharmacy Technicians,Clear,1
276151,2016,Male,Immigrant Tribes,Nursing and Midwifery,Clear,1
276152,2016,Male,Ghana,Technicians and Health Assistants,Clear,1
276155,2016,Male,Greece,Nursing and Midwifery,Clear,1
276156,2016,Male,Greece,Therapy and Rehabilitation,Clear,1
276157,2016,Male,Hungary,Medicine and Surgery,Clear,1
276159,2016,Male,Immigrant Tribes,Health Administration and Community Health,Clear,1
276160,2016,Male,Immigrant Tribes,Medicine and Surgery,Clear,1
276161,2016,Male,Immigrant Tribes,Pharmacists and Pharmacy Technicians,Clear,1
276162,2016,Male,Ghana,Medicine and Surgery,Clear,1
276163,2016,Male,Immigrant Tribes,Technicians and Health Assistants,Clear,1
276166,2016,Male,India,Health Administration and Community Health,Blacklisted,1
276172,2016,Male,Ghana,Pharmacists and Pharmacy Technicians,Clear,1
276173,2016,Male,Ghana,Laboratories and Medical Technology,Clear,1
276176,2016,Male,Egypt,Technicians and Health Assistants,Temporary Suspended,1
276177,2016,Male,Egypt,Unknown,Blacklisted,1
276178,2016,Male,Egypt,Unknown,Clear,1
276179,2016,Male,Eritrea,Dentistry and Related Specialties,Clear,1
276181,2016,Male,Eritrea,Nursing and Midwifery,Blacklisted,1
276183,2016,Male,Eritrea,Nursing and Midwifery,Temporary Suspended,1
276184,2016,Male,Eritrea,Pharmacists and Pharmacy Technicians,Clear,1
276186,2016,Male,Germany,Technicians and Health Assistants,Clear,1
276189,2016,Male,France,Laboratories and Medical Technology,Clear,1
276190,2016,Male,France,Medicine and Surgery,Blacklisted,1
276191,2016,Male,France,Nursing and Midwifery,Clear,1
276192,2016,Male,France,Pharmacists and Pharmacy Technicians,Clear,1
276193,2016,Male,Gambia,Laboratories and Medical Technology,Clear,1
276194,2016,Male,Germany,Laboratories and Medical Technology,Clear,1
276195,2016,Male,Germany,Nursing and Midwifery,Clear,1
276206,2016,Male,Jordan,Pharmacists and Pharmacy Technicians,Temporary Suspended,1
276209,2016,Male,Kenya,Dentistry and Related Specialties,Clear,1
276211,2016,Male,Kenya,Medicine and Surgery,Clear,1
276213,2016,Male,Kosovo,Therapy and Rehabilitation,Clear,1
276215,2016,Male,Kuwait,Laboratories and Medical Technology,Clear,1
276216,2016,Male,Kuwait,Therapy and Rehabilitation,Clear,1
276217,2016,Male,Lebanon,Dentistry and Related Specialties,Blacklisted,1
276219,2016,Male,Lebanon,Dentistry and Related Specialties,Temporary Suspended,1
276222,2016,Male,Jordan,Dentistry and Related Specialties,Blacklisted,1
276226,2016,Male,India,Technicians and Health Assistants,Temporary Suspended,1
276228,2016,Male,Indonesia,Dentistry and Related Specialties,Clear,1
276230,2016,Male,Indonesia,Nursing and Midwifery,Blacklisted,1
276232,2016,Male,Indonesia,Pharmacists and Pharmacy Technicians,Clear,1
276236,2016,Male,Iraq,Medicine and Surgery,Temporary Suspended,1
276237,2016,Male,Iraq,Pharmacists and Pharmacy Technicians,Clear,1
276238,2016,Male,Ireland,Dentistry and Related Specialties,Clear,1
276240,2016,Male,Ireland,Pharmacists and Pharmacy Technicians,Clear,1
276241,2016,Male,Ireland,Therapy and Rehabilitation,Clear,1
276242,2016,Male,Italy,Laboratories and Medical Technology,Clear,1
276246,2016,Male,Afghanistan,Therapy and Rehabilitation,Clear,1
276253,2016,Female,Yugoslavia,Medicine and Surgery,Clear,1
276255,2016,Male,Afghanistan,Technicians and Health Assistants,Clear,1
276256,2016,Male,Albania,Nursing and Midwifery,Clear,1
276257,2016,Female,Unknown,Nursing and Midwifery,Clear,1
276258,2016,Male,Algeria,Dentistry and Related Specialties,Clear,1
276260,2016,Male,Australia,Health Administration and Community Health,Clear,1
276263,2016,Male,Australia,Pharmacists and Pharmacy Technicians,Clear,1
276264,2016,Male,Australia,Technicians and Health Assistants,Clear,1
276265,2016,Male,Australia,Therapy and Rehabilitation,Clear,1
276267,2016,Female,Unknown,Therapy and Rehabilitation,Clear,1
276274,2016,Female,Turkey,Dentistry and Related Specialties,Clear,1
276275,2016,Female,Turkey,Medicine and Surgery,Blacklisted,1
276276,2016,Female,Turkey,Pharmacists and Pharmacy Technicians,Clear,1
276277,2016,Female,Turkmenistan,Technicians and Health Assistants,Clear,1
276278,2016,Female,Uganda,Nursing and Midwifery,Clear,1
276279,2016,Female,Ukraine,Dentistry and Related Specialties,Clear,1
276282,2016,Female,United Arab Emirates,Nursing and Midwifery,Clear,1
276284,2016,Female,United Kingdom,Health Administration and Community Health,Clear,1
276288,2016,Female,United States,Dentistry and Related Specialties,Blacklisted,1
276290,2016,Female,United States,Nursing and Midwifery,Temporary Suspended,1
276293,2016,Male,Bahrain,Therapy and Rehabilitation,Clear,1
276297,2016,Male,China,Technicians and Health Assistants,Clear,1
276298,2016,Male,China,Technicians and Health Assistants,Temporary Suspended,1
276299,2016,Male,China,Therapy and Rehabilitation,Clear,1
276301,2016,Male,Costa Rica,Technicians and Health Assistants,Clear,1
276306,2016,Male,Djibouti,Dentistry and Related Specialties,Clear,1
276307,2016,Male,Dominican Republic,Medicine and Surgery,Clear,1
276314,2016,Male,Egypt,Nursing and Midwifery,Blacklisted,1
276315,2016,Male,China,Medicine and Surgery,Clear,1
276316,2016,Male,Chad,Therapy and Rehabilitation,Clear,1
276317,2016,Male,Chad,Laboratories and Medical Technology,Clear,1
276319,2016,Male,Bangladesh,Medicine and Surgery,Blacklisted,1
276324,2016,Male,Bangladesh,Technicians and Health Assistants,Clear,1
276325,2016,Male,Bangladesh,Technicians and Health Assistants,Temporary Suspended,1
276327,2016,Male,Belgium,Therapy and Rehabilitation,Clear,1
276328,2016,Male,Bulgaria,Medicine and Surgery,Clear,1
276329,2016,Male,Burma,Medicine and Surgery,Clear,1
276330,2016,Male,Cameroon,Laboratories and Medical Technology,Clear,1
276331,2016,Male,Cameroon,Medicine and Surgery,Clear,1
276332,2016,Male,Canada,Health Administration and Community Health,Temporary Suspended,1
276335,2016,Male,Canada,Medicine and Surgery,Temporary Suspended,1
276339,2016,Male,Lebanon,Medicine and Surgery,Temporary Suspended,1
276340,2017,Female,Algeria,Therapy and Rehabilitation,Clear,1
276346,2016,Male,Sudan,Nursing and Midwifery,Temporary Suspended,1
276348,2016,Male,Sudan,Technicians and Health Assistants,Blacklisted,1
276350,2016,Male,Sweden,Dentistry and Related Specialties,Clear,1
276359,2016,Male,Syria,Nursing and Midwifery,Temporary Suspended,1
276360,2016,Male,Syria,Pharmacists and Pharmacy Technicians,Blacklisted,1
276364,2016,Male,Somalia,Health Administration and Community Health,Clear,1
276365,2016,Male,South Africa,Therapy and Rehabilitation,Temporary Suspended,1
276368,2016,Male,Somalia,Technicians and Health Assistants,Blacklisted,1
276369,2016,Male,Somalia,Therapy and Rehabilitation,Clear,1
276370,2016,Male,South Africa,Dentistry and Related Specialties,Clear,1
276375,2016,Male,South Korea,Dentistry and Related Specialties,Clear,1
276376,2016,Male,Sudan,Dentistry and Related Specialties,Blacklisted,1
276377,2016,Male,South Korea,Laboratories and Medical Technology,Clear,1
276378,2016,Male,Spain,Laboratories and Medical Technology,Clear,1
276380,2016,Male,Spain,Nursing and Midwifery,Clear,1
276381,2016,Male,Sri Lanka,Dentistry and Related Specialties,Clear,1
276382,2016,Male,Sri Lanka,Laboratories and Medical Technology,Blacklisted,1
276385,2016,Male,Sri Lanka,Therapy and Rehabilitation,Blacklisted,1
276386,2016,Male,Syria,Pharmacists and Pharmacy Technicians,Temporary Suspended,1
276387,2016,Male,Syria,Therapy and Rehabilitation,Temporary Suspended,1
276388,2016,Male,Thailand,Technicians and Health Assistants,Clear,1
276389,2016,Male,Yemen,Dentistry and Related Specialties,Blacklisted,1
276392,2016,Male,United States,Therapy and Rehabilitation,Temporary Suspended,1
276393,2016,Male,Unknown,Dentistry and Related Specialties,Clear,1
276395,2016,Male,Unknown,Medicine and Surgery,Clear,1
276396,2016,Male,Unknown,Nursing and Midwifery,Clear,1
276397,2016,Male,Unknown,Technicians and Health Assistants,Clear,1
276398,2016,Male,Unknown,Therapy and Rehabilitation,Clear,1
276404,2016,Male,Yemen,Technicians and Health Assistants,Temporary Suspended,1
276405,2017,Female,Afghanistan,Laboratories and Medical Technology,Clear,1
276406,2017,Female,Afghanistan,Nursing and Midwifery,Clear,1
276407,2017,Female,Albania,Nursing and Midwifery,Clear,1
276412,2016,Male,United States,Nursing and Midwifery,Blacklisted,1
276413,2016,Male,United States,Medicine and Surgery,Temporary Suspended,1
276416,2016,Male,Tunisia,Nursing and Midwifery,Blacklisted,1
276421,2016,Male,Turkey,Pharmacists and Pharmacy Technicians,Blacklisted,1
276422,2016,Male,Turkey,Pharmacists and Pharmacy Technicians,Clear,1
276423,2016,Male,Turkey,Therapy and Rehabilitation,Clear,1
276424,2016,Male,Turkmenistan,Laboratories and Medical Technology,Clear,1
276425,2016,Male,Uganda,Laboratories and Medical Technology,Clear,1
276426,2016,Male,United Arab Emirates,Medicine and Surgery,Clear,1
276429,2016,Male,United Kingdom,Pharmacists and Pharmacy Technicians,Clear,1
276434,2016,Male,Slovakia,Pharmacists and Pharmacy Technicians,Clear,1
276435,2016,Male,Lebanon,Nursing and Midwifery,Temporary Suspended,1
276436,2016,Male,Pakistan,Laboratories and Medical Technology,Temporary Suspended,1
276439,2016,Male,Nigeria,Technicians and Health Assistants,Clear,1
276441,2016,Male,Oman,Dentistry and Related Specialties,Clear,1
276442,2016,Male,Oman,Medicine and Surgery,Clear,1
276443,2016,Male,Oman,Pharmacists and Pharmacy Technicians,Clear,1
276444,2016,Male,Oman,Therapy and Rehabilitation,Clear,1
276447,2016,Male,Nigeria,Health Administration and Community Health,Clear,1
276453,2016,Male,Pakistan,Pharmacists and Pharmacy Technicians,Temporary Suspended,1
276460,2016,Male,Mauritius,Nursing and Midwifery,Clear,1
276462,2016,Male,Lebanon,Technicians and Health Assistants,Clear,1
276464,2016,Male,Libya,Pharmacists and Pharmacy Technicians,Clear,1
276467,2016,Male,Mali,Pharmacists and Pharmacy Technicians,Clear,1
276468,2016,Male,Mali,Therapy and Rehabilitation,Clear,1
276469,2016,Male,Mauritius,Medicine and Surgery,Clear,1
276470,2016,Male,Mauritius,Pharmacists and Pharmacy Technicians,Clear,1
276471,2016,Male,New Zealand,Laboratories and Medical Technology,Clear,1
276472,2016,Male,Mexico,Dentistry and Related Specialties,Clear,1
276473,2016,Male,Morocco,Medicine and Surgery,Clear,1
276474,2016,Male,Morocco,Technicians and Health Assistants,Clear,1
276475,2016,Male,Myanmar,Medicine and Surgery,Blacklisted,1
276476,2016,Male,Myanmar,Medicine and Surgery,Clear,1
276477,2016,Male,Nepal,Technicians and Health Assistants,Clear,1
276479,2016,Male,Netherlands,Pharmacists and Pharmacy Technicians,Clear,1
276480,2016,Male,Netherlands,Therapy and Rehabilitation,Clear,1
276484,2016,Male,Saudi Arabia,Nursing and Midwifery,Blacklisted,1
276485,2016,Male,Romania,Dentistry and Related Specialties,Clear,1
276488,2016,Male,Russia,Medicine and Surgery,Blacklisted,1
276490,2016,Male,Russia,Pharmacists and Pharmacy Technicians,Clear,1
276495,2016,Male,Palestine,Medicine and Surgery,Temporary Suspended,1
276497,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Blacklisted,1
276502,2016,Male,Serbia,Nursing and Midwifery,Clear,1
276503,2016,Male,Slovakia,Laboratories and Medical Technology,Clear,1
276504,2016,Male,Slovakia,Medicine and Surgery,Clear,1
276505,2016,Male,Portugal,Therapy and Rehabilitation,Clear,1
276506,2016,Male,Portugal,Pharmacists and Pharmacy Technicians,Clear,1
276511,2016,Male,Palestine,Technicians and Health Assistants,Blacklisted,1
276519,2016,Male,Philippines,Pharmacists and Pharmacy Technicians,Blacklisted,1
276521,2016,Male,Philippines,Pharmacists and Pharmacy Technicians,Temporary Suspended,1
276524,2016,Male,Philippines,Technicians and Health Assistants,Temporary Suspended,1
276526,2016,Male,Poland,Therapy and Rehabilitation,Clear,1
276527,2016,Male,Portugal,Laboratories and Medical Technology,Clear,1
276528,2020,Female,China,Nursing and Midwifery,Blacklisted,1
276530,2020,Female,China,Nursing and Midwifery,Temporary Suspended,1
276911,2022,Male,Kenya,Laboratories and Medical Technology,Clear,1
276915,2022,Male,Jordan,Medicine and Surgery,Temporary Suspended,1
276919,2022,Male,Kazakhstan,Medicine and Surgery,Clear,1
276920,2022,Male,Kenya,Dentistry and Related Specialties,Clear,1
276922,2022,Male,Jordan,Dentistry and Related Specialties,Blacklisted,1
276923,2022,Male,Kenya,Technicians and Health Assistants,Clear,1
276925,2022,Male,Kosovo,Nursing and Midwifery,Clear,1
276926,2022,Male,Kuwait,Laboratories and Medical Technology,Clear,1
276928,2022,Male,Lebanon,Dentistry and Related Specialties,Blacklisted,1
276934,2022,Male,India,Dentistry and Related Specialties,Temporary Suspended,1
276941,2022,Male,Indonesia,Dentistry and Related Specialties,Clear,1
276943,2022,Male,Indonesia,Pharmacists and Pharmacy Technicians,Clear,1
276944,2022,Male,Indonesia,Technicians and Health Assistants,Clear,1
276948,2022,Male,Iraq,Technicians and Health Assistants,Clear,1
276949,2022,Male,Ireland,Dentistry and Related Specialties,Clear,1
276950,2022,Male,Ireland,Laboratories and Medical Technology,Clear,1
276951,2022,Male,Ireland,Medicine and Surgery,Temporary Suspended,1
276953,2022,Male,Ireland,Technicians and Health Assistants,Clear,1
276955,2022,Male,Italy,Dentistry and Related Specialties,Clear,1
276960,2022,Male,Netherlands,Therapy and Rehabilitation,Clear,1
276961,2022,Male,New Zealand,Dentistry and Related Specialties,Clear,1
276962,2022,Male,New Zealand,Laboratories and Medical Technology,Clear,1
276964,2022,Male,Niger,Laboratories and Medical Technology,Clear,1
276966,2022,Male,Nigeria,Health Administration and Community Health,Clear,1
276970,2022,Male,Malaysia,Dentistry and Related Specialties,Clear,1
276972,2022,Male,Oman,Nursing and Midwifery,Clear,1
276973,2022,Male,Oman,Pharmacists and Pharmacy Technicians,Clear,1
276974,2022,Male,Oman,Technicians and Health Assistants,Clear,1
276977,2022,Male,Pakistan,Laboratories and Medical Technology,Temporary Suspended,1
276980,2022,Male,Netherlands,Pharmacists and Pharmacy Technicians,Clear,1
276981,2022,Male,Nepal,Technicians and Health Assistants,Clear,1
276982,2022,Male,Nepal,Medicine and Surgery,Clear,1
276983,2022,Male,Myanmar,Technicians and Health Assistants,Clear,1
276986,2022,Male,Maldives,Medicine and Surgery,Clear,1
276987,2022,Male,Mali,Laboratories and Medical Technology,Clear,1
276988,2022,Male,Mali,Pharmacists and Pharmacy Technicians,Clear,1
276989,2022,Male,Mali,Therapy and Rehabilitation,Clear,1
276990,2022,Male,Mauritania,Health Administration and Community Health,Clear,1
276992,2022,Male,Mauritania,Nursing and Midwifery,Clear,1
276993,2022,Male,Mauritania,Technicians and Health Assistants,Clear,1
276994,2022,Male,Mexico,Therapy and Rehabilitation,Clear,1
276995,2022,Male,Moldova,Pharmacists and Pharmacy Technicians,Clear,1
276997,2022,Male,Morocco,Laboratories and Medical Technology,Clear,1
276998,2022,Male,Morocco,Pharmacists and Pharmacy Technicians,Clear,1
277001,2022,Male,Myanmar,Dentistry and Related Specialties,Clear,1
277002,2022,Male,Myanmar,Pharmacists and Pharmacy Technicians,Clear,1
277007,2022,Male,Chad,Dentistry and Related Specialties,Clear,1
277008,2022,Male,Chad,Laboratories and Medical Technology,Clear,1
277009,2022,Male,Chad,Nursing and Midwifery,Clear,1
277010,2022,Male,Chad,Pharmacists and Pharmacy Technicians,Clear,1
277011,2022,Male,Chile,Dentistry and Related Specialties,Clear,1
277015,2022,Male,China,Therapy and Rehabilitation,Clear,1
277016,2022,Male,Comoros,Medicine and Surgery,Clear,1
277020,2022,Male,Czech Republic,Laboratories and Medical Technology,Clear,1
277025,2022,Male,Denmark,Laboratories and Medical Technology,Clear,1
277026,2022,Male,Djibouti,Dentistry and Related Specialties,Clear,1
277027,2022,Male,Central African Republic,Nursing and Midwifery,Clear,1
277030,2022,Male,Bangladesh,Medicine and Surgery,Temporary Suspended,1
277032,2022,Male,Azerbaijan,Dentistry and Related Specialties,Clear,1
277036,2022,Male,Bahrain,Therapy and Rehabilitation,Clear,1
277041,2022,Male,Canada,Health Administration and Community Health,Clear,1
277046,2022,Male,Belgium,Nursing and Midwifery,Clear,1
277049,2022,Male,Brazil,Nursing and Midwifery,Clear,1
277050,2022,Male,Burkina Faso,Therapy and Rehabilitation,Clear,1
277051,2022,Male,Djibouti,Therapy and Rehabilitation,Clear,1
277053,2022,Male,Dominican Republic,Medicine and Surgery,Clear,1
277054,2022,Male,Germany,Therapy and Rehabilitation,Clear,1
277055,2022,Male,Ethiopia,Therapy and Rehabilitation,Clear,1
277058,2022,Male,France,Laboratories and Medical Technology,Clear,1
277060,2022,Male,France,Therapy and Rehabilitation,Clear,1
277062,2022,Male,Germany,Nursing and Midwifery,Clear,1
277063,2022,Male,Germany,Pharmacists and Pharmacy Technicians,Clear,1
277064,2022,Male,Ghana,Dentistry and Related Specialties,Clear,1
277065,2022,Male,Ecuador,Medicine and Surgery,Clear,1
277068,2022,Male,Greece,Nursing and Midwifery,Clear,1
277070,2022,Male,Guatemala,Dentistry and Related Specialties,Clear,1
277077,2022,Male,Ethiopia,Dentistry and Related Specialties,Clear,1
277079,2022,Male,Ecuador,Pharmacists and Pharmacy Technicians,Clear,1
277080,2022,Male,Egypt,Dentistry and Related Specialties,Blacklisted,1
277086,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,Blacklisted,1
277088,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,Temporary Suspended,1
277091,2022,Male,Egypt,Unknown,Clear,1
277099,2022,Male,Palestine,Health Administration and Community Health,Clear,1
277104,2022,Male,Yugoslavia,Medicine and Surgery,Clear,1
277105,2022,Male,Zimbabwe,Therapy and Rehabilitation,Clear,1
277124,2022,Male,Turkey,Laboratories and Medical Technology,Clear,1
277126,2022,Male,Turkmenistan,Medicine and Surgery,Clear,1
277127,2022,Male,Uganda,Dentistry and Related Specialties,Clear,1
277128,2022,Male,Uganda,Medicine and Surgery,Clear,1
277134,2022,Male,United Kingdom,Technicians and Health Assistants,Clear,1
277138,2022,Male,United States,Medicine and Surgery,Temporary Suspended,1
277141,2022,Male,Unknown,Nursing and Midwifery,Clear,1
277142,2022,Male,Unknown,Therapy and Rehabilitation,Clear,1
277197,2022,Male,Saudi Arabia,Health Administration and Community Health,Temporary Suspended,1
277207,2022,Male,Saint Kitts And Nevis,Laboratories and Medical Technology,Clear,1
277208,2022,Male,Senegal,Medicine and Surgery,Clear,1
277211,2022,Male,Sierra Leone,Medicine and Surgery,Clear,1
277212,2022,Male,Slovakia,Laboratories and Medical Technology,Clear,1
277213,2022,Male,Slovakia,Technicians and Health Assistants,Clear,1
277227,2022,Male,Philippines,Medicine and Surgery,Temporary Suspended,1
277235,2022,Male,Portugal,Dentistry and Related Specialties,Clear,1
277238,2022,Male,Qatar,Laboratories and Medical Technology,Clear,1
277240,2022,Male,Romania,Pharmacists and Pharmacy Technicians,Clear,1
277241,2022,Male,South Africa,Dentistry and Related Specialties,Clear,1
277244,2022,Male,Taiwan,Medicine and Surgery,Clear,1
277249,2022,Male,Syria,Pharmacists and Pharmacy Technicians,Blacklisted,1
277253,2022,Male,Taiwan,Dentistry and Related Specialties,Clear,1
277256,2022,Male,Tanzania,Medicine and Surgery,Clear,1
277258,2022,Male,Thailand,Nursing and Midwifery,Clear,1
277259,2022,Male,Thailand,Technicians and Health Assistants,Clear,1
277264,2022,Male,Tunisia,Medicine and Surgery,Temporary Suspended,1
277267,2022,Male,Switzerland,Dentistry and Related Specialties,Clear,1
277268,2022,Male,Sweden,Therapy and Rehabilitation,Clear,1
277275,2022,Male,Sudan,Laboratories and Medical Technology,Temporary Suspended,1
277279,2022,Male,Sudan,Nursing and Midwifery,Temporary Suspended,1
277281,2022,Male,Sudan,Pharmacists and Pharmacy Technicians,Temporary Suspended,1
277284,2022,Male,Sweden,Dentistry and Related Specialties,Clear,1
277285,2022,Male,Sweden,Laboratories and Medical Technology,Clear,1
277287,2022,Male,Sweden,Nursing and Midwifery,Clear,1
277290,2020,Female,Colombia,Nursing and Midwifery,Clear,1
278048,2022,Male,Australia,Therapy and Rehabilitation,Clear,1
278050,2022,Male,Australia,Dentistry and Related Specialties,Clear,1
278052,2020,Male,United Kingdom,Medicine and Surgery,Temporary Suspended,1
278053,2020,Male,United Kingdom,Pharmacists and Pharmacy Technicians,Clear,1
278054,2020,Male,United Kingdom,Technicians and Health Assistants,Clear,1
278058,2020,Male,United States,Nursing and Midwifery,Blacklisted,1
278063,2020,Male,Unknown,Medicine and Surgery,Clear,1
278064,2020,Male,Unknown,Pharmacists and Pharmacy Technicians,Clear,1
278065,2020,Male,Unknown,Therapy and Rehabilitation,Clear,1
278067,2020,Male,Venezuela,Dentistry and Related Specialties,Clear,1
278070,2020,Male,Yemen,Dentistry and Related Specialties,Temporary Suspended,1
278072,2020,Male,United Kingdom,Medicine and Surgery,Blacklisted,1
278073,2020,Male,United Kingdom,Health Administration and Community Health,Clear,1
278075,2020,Male,Thailand,Medicine and Surgery,Clear,1
278077,2020,Male,Syria,Health Administration and Community Health,Clear,1
278080,2020,Male,Syria,Pharmacists and Pharmacy Technicians,Blacklisted,1
278081,2020,Male,Syria,Pharmacists and Pharmacy Technicians,Temporary Suspended,1
278083,2020,Male,Tanzania,Laboratories and Medical Technology,Clear,1
278084,2020,Male,Thailand,Laboratories and Medical Technology,Clear,1
278085,2020,Male,Thailand,Therapy and Rehabilitation,Clear,1
278093,2020,Male,Uganda,Laboratories and Medical Technology,Clear,1
278094,2020,Male,Ukraine,Pharmacists and Pharmacy Technicians,Clear,1
