,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Current_Speciality_Name_En,Number_of_Trainees
14638,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Breast And Gynecologic Pathology,2
14649,2022,Riyadh,King Fahad Medical City in Riyadh,Perinatal Neonatal Medicine,2
14650,2022,Riyadh,King Fahad Medical City in Riyadh,Reproductive Medicine & Surgery,2
14653,2022,Riyadh,King Fahad Medical City in Riyadh,Urogynecology And Pelvic Reconstructive Surgery,2
14657,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult & Pediatric Orthopedic Spinal Surgery,2
14658,2022,Riyadh,Medical City of King Saud University in Riyadh,Pediatric Gastroenterology And Nutrition,2
14659,2022,Riyadh,Medical City of King Saud University in Riyadh,Pediatric Hematology & Oncology,2
14661,2022,Riyadh,Riyadh Second Health Cluster,Clinical Genetics & Metabolic Disorders,2
14663,2022,Riyadh,Riyadh Second Health Cluster,Musculoskeletal Radiology,2
14668,2022,Riyadh,Riyadh Second Health Cluster,Pediatric Cardiology,2
14675,2022,Riyadh,Riyadh Second Health Cluster,Pediatrics Intensive Care,2
14677,2022,Riyadh,Riyadh Second Health Cluster,Gastroenterology,2
14678,2022,Riyadh,Riyadh Second Health Cluster,Body Imaging & Non-Vascular Intervention,2
14679,2022,Riyadh,Riyadh Second Health Cluster,Perinatal Neonatal Medicine,2
14692,2022,Riyadh,Riyadh Second Health Cluster,Adult Nephrology,2
14698,2022,Riyadh,Medical City of King Saud University in Riyadh,Pediatric Nephrology,2
14700,2022,Taif,Armed Forces Hospital in Al-Hada in Taif,Adult Rheumatology,2
14701,2022,Taif,Armed Forces Hospital in Al-Hada in Taif,Mental Health,2
14702,2022,Taif,Armed Forces Hospital in Al-Hada in Taif,Pediatric Endocrinology And Metabolism,2
14703,2022,Taif,Directorate of Health Affairs in Taif Governorate,Diabetes​,2
14705,2022,Taif,King Abdulaziz Specialist Hospital in Taif,Diabetes​,2
14707,2022,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Diabetes​,2
14708,2022,Taif,Specislized Dental Center in Taif,Implant Dentistry,2
14715,2022,Taif,Armed Forces Hospital in Al-Hada in Taif,Adult Nephrology,2
14717,2022,Riyadh,Riyadh Second Health Cluster,Vascular Neurology (Stroke),2
14722,2022,Riyadh,Security Forces Hospital in Riyadh,Adult Respiratory Medicine,2
14723,2022,Riyadh,Security Forces Hospital in Riyadh,Adult Rheumatology,2
14727,2022,Riyadh,Security Forces Hospital in Riyadh,Pediatrics Emergency Medicine,2
14730,2022,Riyadh,The program of the Ministry of Health in Riyadh,Saudi Postgraduate Diploma In Paediatrics,2
14731,2022,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Perinatal Neonatal Medicine,2
14737,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Echocardiography,2
14741,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Rheumatology,2
14742,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Cardiac Anesthesia,2
14745,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Clinical Pharmacy - Internal Medicine,2
14748,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Musculoskeletal Radiology,2
14749,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Echocardiography,2
14753,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Interventional Cardiology,2
14754,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult & Pediatric Orthopedic Spinal Surgery,2
14756,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Cardiac Electrophysiology & Pacing,2
14761,2022,Riyadh,Medical City of King Saud University in Riyadh,Pediatrics Infectious Diseases,2
14763,2022,Riyadh,Medical City of King Saud University in Riyadh,Skull Base Neurosurgery,2
14769,2022,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Adult Rheumatology,2
14771,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Cardiac Anesthesia,2
14775,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Rheumatology,2
14784,2022,Riyadh,Riyadh First Health Cluster,Adults Endocrinology & Metabolism,2
14785,2022,Riyadh,Riyadh First Health Cluster,Gastroenterology,2
14787,2022,Riyadh,Riyadh First Health Cluster,Orthopedic Trauma Surgery,2
14789,2022,Riyadh,Riyadh First Health Cluster,Perinatal Neonatal Medicine,2
14790,2022,Riyadh,Riyadh Second Health Cluster,Adult Echocardiography,2
14791,2022,Riyadh,Riyadh First Health Cluster,Adult Hematology,2
14793,2022,Riyadh,Riyadh First Health Cluster,Adult & Pediatric Orthopedic Spinal Surgery,2
14802,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Women's Health,2
14812,2022,Jazan,General Directorate of Health Affairs in Jazan Region,Implant Dentistry,2
14814,2022,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Implant Dentistry,2
14815,2022,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Adult & Pediatric Orthopedic Spinal Surgery,2
14816,2022,Jeddah,International Medical Center in Jeddah,Adults Endocrinology & Metabolism,2
14828,2022,Jazan,General Directorate of Health Affairs in Jazan Region,Pediatrics Emergency Medicine,2
14832,2022,Dammam,King Fahd Specialist Hospital in Dammam,Palliative Care Medicine,2
14833,2022,Dammam,King Fahd Specialist Hospital in Dammam,Pediatric Gastroenterology And Nutrition,2
14837,2022,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Adult Hematology,2
14841,2022,Dubai,Rashed Hospital in Dubai,Adult Hematology,2
14845,2022,Dubai,Rashed Hospital in Dubai,Gastroenterology,2
14849,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Musculoskeletal Surgical Oncology,2
14856,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatric Surgery,2
14859,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatrics Intensive Care,2
14861,2022,Jeddah,King Abdulaziz University Hospital in Jeddah,Adult Critical Care Medicine,2
14862,2022,Jeddah,King Abdulaziz University Hospital in Jeddah,Adult Respiratory Medicine,2
14866,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pain Medicine,2
14867,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Interventional Neuro-Radiology,2
14872,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Adult Respiratory Medicine,2
14873,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Adult Rheumatology,2
14874,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Cardiac Anesthesia,2
14877,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Cardiothoracic Radiology,2
14884,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Diagnostic Neuroradiology,2
14885,2022,Dammam,King Fahd Specialist Hospital in Dammam,Diagnostic Neuroradiology,2
14893,2022,Abha,General Directorate of Health Affairs in Aseer Region,Adult Rheumatology,2
14899,2022,Al-Ahsa,Almousa Specialist Hospital in Alahsa,Perinatal Neonatal Medicine,2
14901,2022,Albahah,General Directorate of Health Affairs in Al-Baha Region,Implant Dentistry,2
14905,2021,Unknown - Saudi Arabia,The joint program in the Central and Western region,Pediatric Anesthesia,2
14906,2022,Dammam,King Fahd Specialist Hospital in Dammam,Adults Endocrinology & Metabolism,2
14907,2021,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province and the Kingdom of Bahrain,Otorhinolaryngology Head And Neck Surgery,2
14917,2021,Taif,Specislized Dental Center in Taif,Endodontics,2
14923,2022,Alquriyat,Algrayat General Hospital,Saudi Postgraduate Diploma In Paediatrics,2
14924,2022,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,Saudi Postgraduate Diploma In Paediatrics,2
14930,2022,Dammam,Eastern Health Cluster,Gastroenterology,2
14933,2022,Dammam,Eastern Health Cluster,General Medical Oncology,2
14938,2022,Dammam,Eastern Health Cluster,Renal Transplant Surgery,2
14940,2022,Dammam,King Fahd Specialist Hospital in Dammam,Adult Infectious Diseases,2
14943,2022,Dammam,Eastern Health Cluster,Adults Endocrinology & Metabolism,2
14944,2022,Dammam,Eastern Health Cluster,Adult Rheumatology,2
14952,2022,Buraidah,Qassim health Cluster,Pediatrics Emergency Medicine,2
14958,2022,Dammam,Dammam Medical Complex,Gastroenterology,2
14959,2022,Dammam,Eastern Health Cluster,Adult Infectious Diseases,2
14964,2022,Makkah,King Abdullah Medical City in the Holy Capital,Adult Respiratory Medicine,2
14965,2022,Makkah,King Abdullah Medical City in the Holy Capital,General Medical Oncology,2
14967,2022,Makkah,King Abdullah Medical City in the Holy Capital,Palliative Care Medicine,2
14970,2022,Makkah,Maternity and Children Hospital in Mecca,Perinatal Neonatal Medicine,2
14971,2022,Najran,General Directorate of Health Affairs in Najran Region,Gastroenterology,2
14972,2022,Najran,General Directorate of Health Affairs in Najran Region,Implant Dentistry,2
14975,2022,Riyadh,Al-Iman Hospital in Riyadh,Saudi Postgraduate Diploma In Paediatrics,2
14977,2022,Riyadh,Joint Training Program in the Central Region,Adult Nephrology,2
14980,2022,Makkah,King Abdullah Medical City in the Holy Capital,Adult Psychosomatic Medicine,2
14986,2022,Madinah,Maternity and Children Hospital in Medina,Pediatric Surgery,2
14991,2022,Makkah,Alnoor Specialist Hospital in Mecca,Adults Endocrinology & Metabolism,2
14993,2022,Makkah,King Abdullah Medical City in the Holy Capital,Adult Hematology,2
14994,2022,Makkah,King Abdullah Medical City in the Holy Capital,Adult Infectious Diseases,2
14996,2022,Makkah,King Abdullah Medical City in the Holy Capital,Adult Interventional Cardiology,2
15001,2022,Riyadh,Joint Training Program in the Central Region,Pediatric Neurosurgery,2
15004,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Clinical Pharmacy - Pediatric,2
15006,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Cornea/ External Disease,2
15007,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Diagnostic Neuroradiology,2
15014,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Geriatric Medicine,2
15016,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Musculoskeletal Radiology,2
15017,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Clinical Pharmacy - Critical Care,2
15018,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Clinical Pharmacy - Cardiology,2
15021,2022,Riyadh,Joint Training Program in the Central Region,Pediatrics Urology,2
15024,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Echocardiography,2
15036,2022,Madinah,King Fahd Hospital in Medina,Adult Rheumatology,2
15040,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Diabetes​,2
15045,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatric Endocrinology And Metabolism,2
15051,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatrics Emergency Medicine,2
15055,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Rheumatology,2
15056,2022,Madinah,King Fahd Hospital in Medina,Adult Respiratory Medicine,2
15057,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Infectious Diseases,2
15058,2022,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatric Otolaryngology,2
15059,2022,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatrics Emergency Medicine,2
15060,2022,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatrics Intensive Care,2
15062,2022,Jeddah,King Abdullah Medical Complex in Jeddah,Adult Critical Care Medicine,2
15072,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Hematology,2
15073,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Adult Respiratory Medicine,2
15075,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Adult Rheumatology,2
15080,2022,Khobar,King Fahd University Hospital in Khobar,Adult Critical Care Medicine,2
15082,2022,Khobar,King Fahd University Hospital in Khobar,Adult Nephrology,2
15085,2022,Khobar,King Fahd University Hospital in Khobar,Pediatric Endocrinology And Metabolism,2
15090,2022,Madinah,King Fahd Hospital in Medina,Adult Infectious Diseases,2
15091,2022,Madinah,King Fahd Hospital in Medina,Adult Nephrology,2
15092,2022,Jouf,The program of the Ministry of Health in Al-Jouf,Implant Dentistry,2
15093,2022,Jeddah,Saudi German Hospital in Jeddah,Adult & Pediatric Orthopedic Spinal Surgery,2
15094,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Renal Transplant,2
15095,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,General Medical Oncology,2
15096,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Body Imaging & Non-Vascular Intervention,2
15099,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Cardiac Anesthesia,2
15107,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Pediatric Nephrology,2
15110,2017,Dammam,Eastern Health Cluster,Gastroenterology,2
15112,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Restorative Dentistry,2
15113,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Rheumatology,2
15115,2021,Jeddah,Eradah Complex - Psychological Services in Jeddah,Addiction Psychiatry,2
15119,2021,Dammam,Security Forces Hospital in Dammam,Saudi Postgraduate Diploma In Emergency Medicine,2
15122,2021,Dhahran,Eye Specialist Hospital in Dhahran,Cornea/ External Disease,2
15123,2021,Jeddah,King Fahd General Hospital in Jeddah,Family Medicine,2
15126,2021,Madinah,College of Dentistry Taibah University in Medina,Orthodontic and Dentofacial Orthopedics,2
15128,2017,Madinah,King Fahd Hospital in Medina,Adult Infectious Diseases,2
15129,2017,Madinah,King Fahd Hospital in Medina,Adult Nephrology,2
15130,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Interventional Cardiology,2
15131,2017,Madinah,King Fahd Hospital in Medina,Adult Respiratory Medicine,2
15132,2021,Khobar,King Fahd University Hospital in Khobar,Pediatrics Emergency Medicine,2
15137,2021,Madinah,"Joint training program in the Western Region, Madinah",Ophthalmology,2
15139,2021,Madinah,King Fahd Hospital in Medina,Emergency Medicine,2
15141,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Pharmacy - Critical Care,2
15142,2021,Madinah,King Fahd Hospital in Medina,Clinical Pharmacy,2
15143,2021,Madinah,King Fahd Hospital in Medina,Adults Endocrinology & Metabolism,2
15144,2017,Khobar,King Fahd University Hospital in Khobar,Clinical Neurosurgery,2
15147,2021,Madinah,King Fahd Hospital in Medina,Adult Nephrology,2
15148,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics Respiratory Medicine,2
15157,2018,Dammam,Dammam Medical Complex,Adult Critical Care Medicine,2
15158,2017,Khobar,King Fahd University Hospital in Khobar,Oral And Maxillofacial Surgery,2
15160,2017,Madinah,King Fahd Hospital in Medina,Neurology,2
15163,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Dermatology,2
15164,2017,Madinah,Uhud General Hospital in Medina,Restorative Dentistry,2
15166,2017,Madinah,University clinics at Taibah University in Medina,Endodontics,2
15168,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Endodontics,2
15171,2018,Alqatif  ,AlQatif Central Hospital,Dermatology,2
15173,2017,Riyadh,Riyadh First Health Cluster,Orthopedic Trauma Surgery,2
15174,2017,Makkah,Alnoor Specialist Hospital in Mecca,Adult Respiratory Medicine,2
15175,2017,Makkah,Alnoor Specialist Hospital in Mecca,Adults Endocrinology & Metabolism,2
15178,2017,Makkah,Alnoor Specialist Hospital in Mecca,Gastroenterology,2
15180,2021,Khobar,King Fahd University Hospital in Khobar,Clinical Pharmacy,2
15182,2017,Makkah,Hera General Hospital in Mecca,Neurology,2
15187,2021,Khobar,King Fahd University Hospital in Khobar,Pediatric Endocrinology And Metabolism,2
15188,2017,Riyadh,Riyadh First Health Cluster,Adult Cardiology,2
15189,2017,Riyadh,Riyadh First Health Cluster,Adult Hematology,2
15190,2017,Riyadh,Riyadh First Health Cluster,Adults Endocrinology & Metabolism,2
15191,2017,Madinah,King Fahd Hospital in Medina,Otorhinolaryngology Head And Neck Surgery,2
15194,2018,Buraidah,King Fahd Specialist Hospital in Buraidah,Adults Endocrinology & Metabolism,2
15195,2017,Madinah,King Fahd Hospital in Medina,Pediatric Dentistry,2
15197,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Otorhinolaryngology Head And Neck Surgery,2
15198,2021,Jeddah,King Fahd General Hospital in Jeddah,Prosthodontics,2
15201,2017,Madinah,Maternity and Children Hospital in Medina,Pediatrics Emergency Medicine,2
15202,2018,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,Endodontics,2
15203,2017,Madinah,Maternity and Children Hospital in Medina,Pediatrics Intensive Care,2
15204,2017,Riyadh,King Fahad Medical City in Riyadh,Pediatric Surgery,2
15205,2017,Madinah,Medina Cardiac Center,Cardiac Surgery,2
15206,2017,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Anesthesia,2
15208,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ophthalmology,2
15209,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Cardiac Surgery,2
15211,2018,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Orthopedic Surgery,2
15220,2018,Dammam,Eastern Health Cluster,Renal Transplant Surgery,2
15223,2021,Dammam,King Fahd Specialist Hospital in Dammam,Palliative Care Medicine,2
15224,2021,Dammam,King Fahd Specialist Hospital in Dammam,Pediatric Gastroenterology And Nutrition,2
15225,2021,Madinah,University clinics at Taibah University in Medina,Orthodontic and Dentofacial Orthopedics,2
15227,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Oral And Maxillofacial Surgery,2
15228,2021,Madinah,Uhud General Hospital in Medina,Orthodontic and Dentofacial Orthopedics,2
15229,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ophthalmology,2
15230,2021,Dammam,King Fahd Specialist Hospital in Dammam,Pediatric Nephrology,2
15231,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Obstetric Anesthesiology,2
15232,2021,Makkah,Alnoor Specialist Hospital in Mecca,Adult Infectious Diseases,2
15233,2021,Makkah,Alnoor Specialist Hospital in Mecca,Adults Endocrinology & Metabolism,2
15234,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Anatomic Pathology,2
15236,2018,Dammam,JointProgram for Prosthodontics - Dammam,Prosthodontics,2
15238,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Clinical Pharmacy - Infectious Diseases,2
15239,2021,Dammam,King Fahd Specialist Hospital in Dammam,Gynecologic Oncology,2
15241,2018,Dammam,"Joint training program in the eastern region, Dammam",Oral And Maxillofacial Surgery,2
15243,2021,Dammam,King Fahd Specialist Hospital in Dammam,Interventional Neuro-Radiology,2
15244,2021,Jeddah,King Abdulaziz Hospital in Jeddah,Diabetes​,2
15248,2017,Jeddah,King Fahd General Hospital in Jeddah,Implant Dentistry,2
15251,2017,Jeddah,King Fahd General Hospital in Jeddah,Medical Microbiology,2
15252,2021,Makkah,Alnoor Specialist Hospital in Mecca,Endodontics,2
15253,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Critical Care Medicine,2
15254,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Hematology,2
15255,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Infectious Diseases,2
15257,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatric Surgery,2
15258,2018,Dammam,Eastern Health Cluster,General Medical Oncology,2
15260,2021,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Emergency Medicine,2
15261,2018,Dammam,Eastern Health Cluster,Adult Infectious Diseases,2
15262,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Psychiatry,2
15264,2021,Jeddah,King Abdullah Medical Complex in Jeddah,Orthopedic Surgery,2
15265,2017,Jeddah,Maternity and Children Hospital in Jeddah,Pediatrics Emergency Medicine,2
15266,2017,Jeddah,Maternity and Children Hospital in Jeddah,Perinatal Neonatal Medicine,2
15267,2017,Jeddah,Ophthalmology Hospital in Jeddah,Ophthalmology,2
15268,2017,Jeddah,Saudi German Hospital in Jeddah,Orthopedic Surgery,2
15271,2018,Dammam,Eastern Health Cluster,Adult Critical Care Medicine,2
15272,2021,Jeddah,King Abdullah Medical Complex in Jeddah,Radiology Technology & Medical Imaging,2
15274,2021,Madinah,King Fahd Hospital in Medina,Oral And Maxillofacial Surgery,2
15276,2021,Jeddah,King Fahd General Hospital in Jeddah,Adult Rheumatology,2
15277,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Otolaryngology,2
15279,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Radiology,2
15280,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Nephrology,2
15281,2021,Dammam,King Fahd Specialist Hospital in Dammam,Renal Transplant Surgery,2
15282,2018,Dammam,Eastern Health Cluster,Gastroenterology,2
15283,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Clinical Pharmacy,2
15289,2021,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,Prosthodontics,2
15290,2021,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,Orthodontic and Dentofacial Orthopedics,2
15292,2021,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,Endodontics,2
15296,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pain Medicine,2
15297,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Nephropathology Renal Transplant Pathology,2
15298,2021,Madinah,Prince Sultan Armed Forces Hospital in Medina,Restorative Dentistry,2
15300,2018,Dammam,Eastern Health Cluster,Adults Endocrinology & Metabolism,2
15301,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,General Medical Oncology,2
15302,2018,Dammam,Eastern Health Cluster,Adult Rheumatology,2
15303,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Echocardiography,2
15304,2021,Khobar,King Fahd University Hospital in Khobar,Adult Infectious Diseases,2
15307,2017,Riyadh,Riyadh First Health Cluster,Perinatal Neonatal Medicine,2
15308,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Urogynecology And Pelvic Reconstructive Surgery,2
15309,2017,Taif,King Faisal Medical Complex in Taif,Orthopedic Surgery,2
15310,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Retina Surgery,2
15316,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Epilepsy & Electroencephalography,2
15317,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Prosthodontics,2
15318,2017,Riyadh,JointProgram for Preventive medicine-Riyadh,Preventive Medicine,2
15319,2017,Taif,King Abdulaziz Specialist Hospital in Taif,Diagnostic Radiology,2
15320,2017,Taif,King Abdulaziz Specialist Hospital in Taif,Diabetes​,2
15321,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Diagnostic Neuroradiology,2
15326,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Echocardiography,2
15327,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Clinical Pharmacy - Infectious Diseases,2
15328,2017,Taif,Eradah Mental Health Complex in Taif,Psychiatry,2
15330,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Interventional Neuro-Radiology,2
15331,2017,Riyadh,"Joint training program in the central region, Riyadh",Periodontics,2
15332,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Plastic Surgery,2
15333,2017,Riyadh,Joint Training Program in the Central Region,Pain Medicine,2
15334,2021,Hail,Dental Center in Hail,Endodontics,2
15337,2017,Riyadh,Joint Training Program in the Central Region,Pediatric Gastroenterology And Nutrition,2
15339,2017,Riyadh,Joint Training Program in the Central Region,Pediatric Neurosurgery,2
15342,2021,Hail,King Khalid Hospital in Hail,Anesthesia,2
15343,2017,Riyadh,King Abdulaziz University Hospital in Riyadh,Diabetes​,2
15345,2017,Riyadh,Joint Training Program in the Central Region,Prosthodontics,2
15347,2017,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Family Medicine,2
15348,2017,Riyadh,King Abdulaziz University Hospital in Riyadh,Otorhinolaryngology Head And Neck Surgery,2
15349,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Pediatric Cardiology,2
15350,2017,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Community Medicine (Health Informatics),2
15351,2021,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Implant Dentistry,2
15352,2017,Riyadh,Security Forces Hospital in Riyadh,Ophthalmology,2
15353,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Periodontics,2
15355,2017,Riyadh,Security Forces Hospital in Riyadh,Pediatric Surgery,2
15357,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Allergy And Immunology,2
15360,2017,Tabuk,King Khalid Civil Hospital in Tabuk,Obstetrics & Gynecology,2
15361,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Adult Rheumatology,2
15362,2017,Tabuk,"Joint training program in the Western Region, Tabuk",Preventive Medicine,2
15364,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Restorative Dentistry,2
15365,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Implant Dentistry,2
15367,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Perinatal Neonatal Medicine,2
15371,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Adult Hematology,2
15372,2017,Riyadh,University Dental Hospital at King Saud University in Riyadh,Orthodontic and Dentofacial Orthopedics,2
15373,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Musculoskeletal Surgical Oncology,2
15374,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Musculoskeletal Radiology,2
15376,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Geriatric Medicine,2
15380,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Cardiac Anesthesia,2
15381,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics Respiratory Medicine,2
15387,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatric Dentistry,2
15388,2017,Riyadh,Security Forces Hospital in Riyadh,Periodontics,2
15390,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Child And Adolescent Psychiatry,2
15391,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatrics Emergency Medicine,2
15392,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Adult Critical Care Nursing,2
15394,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Body Imaging & Non-Vascular Intervention,2
15395,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatric Endocrinology And Metabolism,2
15396,2017,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Psychiatry,2
15397,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Clinical Pharmacy - Nephrology,2
15398,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Cornea/ External Disease,2
15400,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Dermatology,2
15401,2021,Hafr Albatin,King Khaled General Hospital in Hafar AlBatin Goverorate,Orthopedic Surgery,2
