,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
9500,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Defense / Personal Contract,1
9501,2020,Unaizah,King Saud Hospital in Unaizah,Personal Contract,1
9502,2018,Taif,The program of the Ministry of Health in Taif ,Unknown,1
9503,2018,Taif,The program of the Ministry of Health in Taif ,Personal Contract,1
9504,2020,Unaizah,King Saud Hospital in Unaizah,"King Saud Hospital, Unaizah",1
9505,2018,Taif,The program of the Ministry of Health in Taif ,Ministry of Defense Medical Services,1
9506,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Bahrain Ministry of Health,1
9507,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,"King Abdulaziz Hospital for National Guards, Al Hassa",1
9508,2020,Dubai,Al Jalila Pediatric Hospital in Dubai,شركة أبوظبي للخدمات الصحية- صحة,1
9509,2018,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Ministry of Health,1
9510,2020,Unknown - Saudi Arabia,Joint Psychiatry Program - Dammam,Unknown,1
9511,2020,Unknown - Saudi Arabia,Johns Hopkins Aramco Healthcare for Family Medicine,Unknown,1
9512,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,"king AbdulAziz Specialist Hospital, Taif",1
9513,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Personal Contract,1
9514,2021,Taif,"Joint training program in the Western Region, Taif",Ministry of Defense / Personal Contract,1
9515,2018,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Qassim University,1
9516,2018,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Personal Contract,1
9517,2018,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Ministry of Defense,1
9518,2018,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province,Ministry of Health,1
9519,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Prince Mohammed Bin Abdulaziz Hospital,1
9520,2018,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,King Saud University,1
9521,2020,Dubai,Al Jalila Pediatric Hospital in Dubai,Bahrain Ministry of Health,1
9522,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Ministry of Defense Medical Services,1
9523,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,King Abdulaziz Medical City for National Guard in Riyadh,1
9524,2018,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,King Fahad Medical City in Riyadh,1
9525,2018,Unknown - Saudi Arabia,JointProgram for Psychiatry in East,Personal Contract,1
9526,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Interior,1
9527,2020,Taif,The program of the Ministry of Health in Taif ,"king AbdulAziz Specialist Hospital, Taif",1
9528,2021,Tabuk,Eradah Mental Health Hospital in Tabuk,Ministry of Health,1
9529,2020,Taif,The program of the Ministry of Health in Taif ,Personal Contract,1
9530,2020,Jazan,General Directorate of Health Affairs in Jazan Region,King Saud Medical City in Riyadh,1
9531,2018,Taif,King Faisal Medical Complex in Taif,"king AbdulAziz Specialist Hospital, Taif",1
9532,2020,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Ministry of Defense Medical Services,1
9533,2020,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Ministry of Defense / Personal Contract,1
9534,2020,Taif,Pediatric Hospital in Taif,"king AbdulAziz Specialist Hospital, Taif",1
9535,2018,Taif,King Faisal Medical Complex in Taif,Ministry of Interior,1
9536,2020,Taif,Pediatric Hospital in Taif,Personal Contract,1
9537,2021,Taif,MOH JointProgram for Family Medicine -Taif,Armed Forces Medical Services,1
9538,2018,Taif,King Faisal Medical Complex in Taif,Ministry of Defense,1
9539,2020,Jazan,General Directorate of Health Affairs in Jazan Region,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
9540,2018,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Interior,1
9541,2021,Taif,MOH JointProgram for Family Medicine -Taif,King Fahad General Hospital - Jeddah,1
9542,2020,Taif,Pediatric Hospital in Taif,Medical Services of the Special Security Forces,1
9543,2020,Taif,Pediatric Hospital in Taif,"Al Noor Specialist Hospital, Mecca",1
9544,2020,Taif,MOH JointProgram for Family Medicine -Taif,"king AbdulAziz Specialist Hospital, Taif",1
9545,2021,Taif,MOH JointProgram for Family Medicine -Taif,Ministry of Defense / Land Forces,1
9546,2018,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Defense / Personal Contract,1
9547,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Jazan University,1
9548,2018,Taif,MOH JointProgram for Family Medicine -Taif,Armed Forces Medical Services,1
9549,2020,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,"king AbdulAziz Specialist Hospital, Taif",1
9550,2021,Taif,King Faisal Medical Complex in Taif,Kuwait Ministry of Health,1
9551,2018,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,"king AbdulAziz Specialist Hospital, Taif",1
9552,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Personal Contract,1
9553,2018,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,Unknown,1
9554,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Security Forces Hospital - Riyadh,1
9555,2018,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Ministry of Health,1
9556,2018,Taif,Pediatric Hospital in Taif,Unknown,1
9557,2018,Taif,Pediatric Hospital in Taif,Personal Contract,1
9558,2020,Hail,Health Cluster in Hail Region,Ministry of Health,1
9559,2021,Taif,King Faisal Medical Complex in Taif,Umm Al Qura University,1
9560,2018,Taif,Pediatric Hospital in Taif,Medical Services of the Special Security Forces,1
9561,2020,Hail,King Khalid Hospital in Hail,Personal Contract,1
9562,2020,Hail,King Khalid Hospital in Hail,University of Hail,1
9563,2018,Taif,MOH JointProgram for Family Medicine -Taif,Ministry of Interior Medical Services,1
9564,2021,Taif,King Faisal Medical Complex in Taif,Ministry of Interior,1
9565,2018,Taif,MOH JointProgram for Family Medicine -Taif,Ministry of Interior,1
9566,2018,Taif,MOH JointProgram for Family Medicine -Taif,Ministry of Defense Medical Services,1
9567,2020,Unknown - Saudi Arabia,Joint training program in the Western Region,Ministry of Health,1
9568,2020,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,King Fahad Medical City in Riyadh,1
9569,2021,Taif,Eradah Mental Health Complex in Taif,Ministry of Defense Medical Services,1
9570,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense / Land Forces,1
9571,2021,Tabuk,King Khalid Civil Hospital in Tabuk,Ministry of Defense / Personal Contract,1
9572,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Imam Abdul Rahman Bin Faisal University,1
9573,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,King Saud Medical City in Riyadh,1
9574,2020,Dammam,Maternity and Children Hospital in Dammam,Al Jouf University,1
9575,2021,Abha,General Directorate of Health Affairs in Aseer Region,University of Jeddah ,1
9576,2020,Dammam,Maternity and Children Hospital in Dammam,Personal Contract,1
9577,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense / Air Force,1
9578,2020,Dammam,Saud AlBabtain Cardiac Center in Dammam,Imam Abdul Rahman Bin Faisal University,1
9579,2019,Abha,The Medical City at King Khalid University,Najran University,1
9580,2021,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense / Air Force,1
9581,2020,Dammam,Saud AlBabtain Cardiac Center in Dammam,"King Fahad Specialist Hospital, Damam",1
9582,2021,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense,1
9583,2020,Dammam,Saud AlBabtain Cardiac Center in Dammam,Personal Contract,1
9584,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Prince Sultan Military Medical City,1
9585,2020,Dammam,Security Forces Hospital in Dammam,Ministry of Defense Medical Services,1
9586,2020,Dammam,Security Forces Hospital in Dammam,Ministry of Interior / General Intelligence,1
9587,2019,Abha,The Medical City at King Khalid University,King Faisal Medical City for Southern Regions,1
9588,2019,Abha,The Medical City at King Khalid University,Unknown,1
9589,2021,Abha,The Medical City at King Khalid University,King Khalid University,1
9590,2019,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",Ministry of Health,1
9591,2020,Dammam,King Fahd Specialist Hospital in Dammam,King Hamad University Hospita,1
9592,2020,Dammam,King Fahd Specialist Hospital in Dammam,Bahrain Ministry of Health,1
9593,2021,Al-Ahsa,Almousa Specialist Hospital in Alahsa,Personal Contract,1
9594,2021,Al-Ahsa,Almousa Specialist Hospital in Alahsa,Ministry of Interior,1
9595,2021,Al-Ahsa,Alahsa Health Cluster,"king AbdulAziz Specialist Hospital, Taif",1
9596,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Bahrain Ministry of Health,1
9597,2020,Dammam,King Fahd Specialist Hospital in Dammam,King Faisal University,1
9598,2021,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",Unknown,1
9599,2021,Tabuk,"Joint training program in the Western Region, Tabuk",Ministry of Defense / Land Forces,1
9600,2019,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",Unknown,1
9601,2021,Tabuk,"Joint training program in the Western Region, Tabuk",Ministry of Defense / Personal Contract,1
9602,2020,Dammam,King Fahd Specialist Hospital in Dammam,Kuwait Ministry of Health,1
9603,2019,Al-Ahsa,Almousa Specialist Hospital in Alahsa,Personal Contract,1
9604,2021,Tabuk,"Joint training program in the Western Region, Tabuk",university of tabuk,1
9605,2020,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Interior,1
9606,2021,Abha,The Medical City at King Khalid University,Ministry of Defense / Personal Contract,1
9607,2020,Dammam,King Fahd Specialist Hospital in Dammam,برنامج الخدمات الصحية للهيئة الملكية بالجبيل RCH,1
9608,2019,Abha,JointProgram for Family Medicine in Abha,Ministry of Health,1
9609,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Saudi Red Crescent Authority,1
9610,2019,Abha,General Directorate of Health Affairs in Aseer Region,University of Jeddah ,1
9611,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,King Faisal University,1
9612,2020,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Ministry of Defense / Personal Contract,1
9613,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Personal Contract,1
9614,2020,Yanbu,Royal Commission Medical Center in Yanbu,International Medical Center,1
9615,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Shaqra University,1
9616,2019,Abha,General Directorate of Health Affairs in Aseer Region,King Abdulaziz University,1
9617,2019,Abha,General Directorate of Health Affairs in Aseer Region,Armed Forces Medical Services,1
9618,2020,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Personal Contract,1
9619,2018,Yanbu,The program of the Ministry of Health Yanbu,"Royal Commission Medical Center, Yanbu",1
9620,2019,Abha,General Directorate of Health Affairs in Aseer Region,King Faisal University,1
9621,2020,Yanbu,Family Medicine Combined Training Program - Yanbu,"Al Noor Specialist Hospital, Mecca",1
9622,2018,Yanbu,The program of the Ministry of Health Yanbu,Personal Contract,1
9623,2018,Yanbu,The program of the Ministry of Health Yanbu,Ministry of Interior,1
9624,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,King Saud Medical City in Riyadh,1
9625,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense / Air Force,1
9626,2021,Taif,Eradah Mental Health Complex in Taif,Ministry of Defense,1
9627,2021,Taif,Eradah Mental Health Complex in Taif,Ministry of Defense / Personal Contract,1
9628,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Interior,1
9629,2020,Yanbu,The program of the Ministry of Health Yanbu,Ministry of Interior,1
9630,2019,Abha,General Directorate of Health Affairs in Aseer Region,Prince Mohammed Bin Abdulaziz Hospital,1
9631,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,"King Abdulaziz Hospital for National Guards, Al Hassa",1
9632,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,وزارة الدفاع - البحرين,1
9633,2020,Dhahran,Eye Specialist Hospital in Dhahran,Imam Abdul Rahman Bin Faisal University,1
9634,2020,Dhahran,Eye Specialist Hospital in Dhahran,King Abdulaziz University,1
9635,2021,Abha,General Directorate of Health Affairs in Aseer Region,Armed Forces Medical Services,1
9636,2020,Dhahran,Eye Specialist Hospital in Dhahran,Personal Contract,1
9637,2021,Abha,General Directorate of Health Affairs in Aseer Region,"Al Noor Specialist Hospital, Mecca",1
9638,2021,Tabuk,Medical Center in College of Medicine in University of Tabuk,Unknown,1
9639,2019,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Interior,1
9640,2020,Yanbu,The program of the Ministry of Health Yanbu,Personal Contract,1
9641,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Ministry of Defense / Personal Contract,1
9642,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,"Al Noor Specialist Hospital, Mecca",1
9643,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,King Abdulaziz Medical City for National Guard in Riyadh,1
9644,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense / Air Force,1
9645,2020,Yanbu,The program of the Ministry of Health Yanbu,"Royal Commission Medical Center, Yanbu",1
9646,2020,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Ministry of Defense / Air Force,1
9647,2019,Abha,General Directorate of Health Affairs in Aseer Region,King Saud Medical City in Riyadh,1
9648,2021,Bisha,Directorate of Health Affairs in Bisha Governorate,University of Bisha ,1
9649,2020,Al-Ahsa,Maternity and Children Hospital in Mubarraz,King Saud Medical City in Riyadh,1
9650,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,King Faisal Specialist Hospital & Research Centre,1
9651,2021,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Ministry of Defense,1
9652,2019,Taif,Eradah Mental Health Complex in Taif,Ministry of Defense,1
9653,2019,Jeddah,"Joint training program in the Western Region, Jeddah",King Abdulaziz University,1
9654,2021,Riyadh,King Khalid University Hospital in Riyadh,King Abdulaziz University,1
9655,2019,Taif,Eradah Mental Health Complex in Taif,Ministry of Defense / Personal Contract,1
9656,2021,Riyadh,King Khalid University Hospital in Riyadh,King Fahad Medical City in Riyadh,1
9657,2021,Riyadh,King Khalid University Hospital in Riyadh,Kuwait Ministry of Health,1
9658,2019,Taif,"Joint training program in the Western Region, Taif",Ministry of Defense / Personal Contract,1
9659,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense / Air Force,1
9660,2019,Taif,"Joint training program in the Western Region, Taif",Unknown,1
9661,2019,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Defense / Air Force,1
9662,2019,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Defense / Personal Contract,1
9663,2021,Riyadh,King Khalid University Hospital in Riyadh,Medical Services of the Special Security Forces,1
9664,2019,Jeddah,Health Center King Faisal Residential City of the National Guard in Jeddah,"King Abdulaziz Medical City for National Guard, Jeddah",1
9665,2021,Riyadh,King Khalid University Hospital in Riyadh,Ministry of Defense Medical Services,1
9666,2019,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Interior,1
9667,2019,Jeddah,Eradah Complex - Psychological Services in Jeddah,Unknown,1
9668,2021,Riyadh,King Khalid University Hospital in Riyadh,وزارة الدفاع - البحرين,1
9669,2019,Jeddah,"Joint training program in the Western Region, Jeddah",Ministry of Defense / Personal Contract,1
9670,2019,Taif,Directorate of Health Affairs in Taif Governorate,"king AbdulAziz Specialist Hospital, Taif",1
9671,2021,Riyadh,King Khalid University Hospital in Riyadh,International Medical Center,1
9672,2021,Dubai,Rashed Hospital in Dubai,Personal Contract,1
9673,2019,Jeddah,JointProgram for Family Medicine in Jeddah,University of Jeddah ,1
9674,2019,Jeddah,JointProgram for Family Medicine in Jeddah,Private Sector,1
9675,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ministry of Defense / Personal Contract,1
9676,2019,Tabuk,Medical Center in College of Medicine in University of Tabuk,Ministry of Health,1
9677,2019,Tabuk,The program of the Ministry of Health in Tabuk,Ministry of Health,1
9678,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ministry of National Guard,1
9679,2021,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,Ministry of Defense / Land Forces,1
9680,2021,Dubai,Rashed Hospital in Dubai,Ministry of Health,1
9681,2021,Riyadh,King Khalid University Hospital in Riyadh,Imam Abdul Rahman Bin Faisal University,1
9682,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense / Air Force,1
9683,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense / Naval Forces,1
9684,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Interior,1
9685,2021,Dubai,Al Jalila Pediatric Hospital in Dubai,Bahrain Ministry of Health,1
9686,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Shaqra University,1
9687,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,Personal Contract,1
9688,2019,Taif,Directorate of Health Affairs in Taif Governorate,Ministry of Health,1
9689,2021,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,King Saud University,1
9690,2019,Taif,King Faisal Medical Complex in Taif,Kuwait Ministry of Health,1
9691,2021,Riyadh,King Saud Medical City in Riyadh,Ministry of Defense / Naval Forces,1
9692,2021,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Ministry of Defense Medical Services,1
9693,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,"Al Noor Specialist Hospital, Mecca",1
9694,2019,Jeddah,East Jeddah Hospital in Jeddah,"Al Noor Specialist Hospital, Mecca",1
9695,2021,Dhahran,Eye Specialist Hospital in Dhahran,King Abdulaziz University,1
9696,2019,Taif,Pediatric Hospital in Taif,"Al Noor Specialist Hospital, Mecca",1
9697,2019,Taif,Pediatric Hospital in Taif,Medical Services of the Special Security Forces,1
9698,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,University of Jeddah ,1
9699,2021,Riyadh,King Saud Medical City in Riyadh,Majmaah University,1
9700,2021,Dhahran,Eye Specialist Hospital in Dhahran,Imam Abdul Rahman Bin Faisal University,1
9701,2019,Taif,Pediatric Hospital in Taif,Personal Contract,1
9702,2021,Dammam,Security Forces Hospital in Dammam,Ministry of Defense Medical Services,1
9703,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Ministry of Interior Medical Services,1
9704,2021,Dammam,Saud AlBabtain Cardiac Center in Dammam,Saud Al Babtain Cardiac Center,1
9705,2019,Taif,Pediatric Hospital in Taif,"king AbdulAziz Specialist Hospital, Taif",1
9706,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,King Abdulaziz University,1
9707,2021,Dammam,Saud AlBabtain Cardiac Center in Dammam,Ministry of Defense / Personal Contract,1
9708,2021,Dammam,Saud AlBabtain Cardiac Center in Dammam,"King Fahad Specialist Hospital, Damam",1
9709,2021,Riyadh,King Saud Medical City in Riyadh,Ministry of Defense,1
9710,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,King Saud Medical City in Riyadh,1
9711,2021,Riyadh,King Saud Medical City in Riyadh,King Faisal Specialist Hospital & Research Centre,1
9712,2021,Riyadh,King Saud Medical City in Riyadh,King Fahad Medical City in Riyadh,1
9713,2021,Riyadh,King Saud Medical City in Riyadh,Imam Abdul Rahman Bin Faisal University,1
9714,2019,Taif,King Faisal Medical Complex in Taif,Ministry of Defense,1
9715,2019,Jeddah,East Jeddah Hospital in Jeddah,وزارة الدفاع - البحرين,1
9716,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Ministry of Defense / Personal Contract,1
9717,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Ministry of Defense / Air Force,1
9718,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
9719,2019,Taif,King Faisal Medical Complex in Taif,Ministry of Interior,1
9720,2021,Riyadh,King Saud Medical City in Riyadh,Dr. Sulaiman Al Habib Hospital - Takhassusi,1
9721,2019,Jeddah,East Jeddah Hospital in Jeddah,Taibah University,1
9722,2019,Taif,MOH JointProgram for Family Medicine -Taif,Ministry of Interior,1
9723,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Personal Contract,1
9724,2021,Riyadh,King Saud Medical City in Riyadh,International Medical Center,1
9725,2019,Jeddah,East Jeddah Hospital in Jeddah,Ministry of Interior,1
9726,2019,Taif,King Faisal Medical Complex in Taif,Umm Al Qura University,1
9727,2019,Taif,MOH JointProgram for Family Medicine -Taif,Armed Forces Medical Services,1
9728,2021,Riyadh,King Saud Medical City in Riyadh,Jazan University,1
9729,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Ministry of Interior,1
9730,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Prince Mohammed Bin Abdulaziz Hospital,1
9731,2019,Jeddah,JointProgram for Orthodontics- Jeddah,King Khalid National Guard Hospital,1
9732,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Majmaah University,1
9733,2021,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,Ministry of Defense / Personal Contract,1
9734,2021,Jazan,General Directorate of Health Affairs in Jazan Region,King Saud Medical City in Riyadh,1
9735,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Jazan University,1
9736,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Al Jouf University,1
9737,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Defense / Land Forces,1
9738,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,King Saud Medical City in Riyadh,1
9739,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,King Khalid National Guard Hospital,1
9740,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Defense / Personal Contract,1
9741,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Defense Medical Services,1
9742,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdullah Medical City in Mecca,1
9743,2021,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,Unknown,1
9744,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Interior,1
9745,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Personal Contract,1
9746,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Jazan University,1
9747,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Albaha University,1
9748,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Presidency of State Security,1
9749,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Abdullah Medical City in Mecca,1
9750,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Abdullah bin Abdulaziz University Hospital,1
9751,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Interior Medical Services,1
9752,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Defense / Land Forces,1
9753,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Qassim University,1
9754,2019,Jeddah,King Abdullah Medical Complex in Jeddah,International Medical Center,1
9755,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Ministry of Defense / Land Forces,1
9756,2019,Jeddah,King Abdullah Medical Complex in Jeddah,Ministry of Defense Medical Services,1
9757,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Ministry of Defense / Personal Contract,1
9758,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Dr. Sulaiman Al Habib Hospital - Takhassusi,1
9759,2019,Jeddah,King Abdullah Medical Complex in Jeddah,Ministry of Defense / Personal Contract,1
9760,2019,Jeddah,King Abdullah Medical Complex in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",1
9761,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Najran University,1
9762,2019,Jeddah,King Abdullah Medical Complex in Jeddah,Armed Forces Medical Services,1
9763,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Prince Mohammed Bin Abdulaziz Hospital,1
9764,2019,Jeddah,King Abdullah Medical Complex in Jeddah,"Al Noor Specialist Hospital, Mecca",1
9765,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,"king AbdulAziz Specialist Hospital, Taif",1
9766,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Prince Sattam Bin Abdulaziz University,1
9767,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,University of Jeddah ,1
9768,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Princess Nourah Bint Abdul Rahman University,1
9769,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Taibah University,1
9770,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,"Royal Commission Medical Center, Yanbu",1
9771,2021,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,Ministry of Health,1
9772,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,University of Bisha ,1
9773,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Umm Al Qura University,1
9774,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,برنامج الخدمات الصحية للهيئة الملكية بالجبيل RCH,1
9775,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Qassim University,1
9776,2019,Jeddah,King Abdulaziz Hospital in Jeddah,Unknown,1
9777,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"Royal Commission Medical Center, Yanbu",1
9778,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Al Jouf University,1
9779,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Armed Forces Medical Services,1
9780,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,University of Hail,1
9781,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,university of tabuk,1
9782,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
9783,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,King Fahad National Guard Hospital,1
9784,2019,Jeddah,King Abdulaziz Hospital in Jeddah,Ministry of Defense / Personal Contract,1
9785,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense,1
9786,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,1
9787,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,"King Abdulaziz Medical City for National Guard, Jeddah",1
9788,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Fahad General Hospital - Jeddah,1
9789,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense / Air Force,1
9790,2019,Jeddah,King Abdulaziz Hospital in Jeddah,King Abdulaziz University,1
9791,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Private Sector,1
9792,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Princess Nourah Bint Abdul Rahman University,1
9793,2021,Hofuf,King Fahad Hospital in Hofuf,Personal Contract,1
9794,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Interior,1
9795,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Taibah University,1
9796,2019,Tabuk,Family Medicine Postgraduate Program in Tabuk,Ministry of Health,1
9797,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"King Fahad Specialist Hospital, Damam",1
